model,explain_method,seed,function,samples,dimension,noise,variable,score,is_active
KAN,grad,0,core_interaction,1024,100,0.0,0,1.8255465030670166,1
KAN,grad,0,core_interaction,1024,100,0.0,1,0.8640443086624146,1
KAN,grad,0,core_interaction,1024,100,0.0,2,0.46089085936546326,1
KAN,grad,0,core_interaction,1024,100,0.0,3,0.38842636346817017,1
KAN,grad,0,core_interaction,1024,100,0.0,4,0.6217478513717651,0
KAN,grad,0,core_interaction,1024,100,0.0,5,0.5537615418434143,0
KAN,grad,0,core_interaction,1024,100,0.0,6,0.6391761898994446,0
KAN,grad,0,core_interaction,1024,100,0.0,7,0.7343257665634155,0
KAN,grad,0,core_interaction,1024,100,0.0,8,0.3172321319580078,0
KAN,grad,0,core_interaction,1024,100,0.0,9,0.558590292930603,0
KAN,grad,0,core_interaction,1024,100,0.0,10,0.5222259163856506,0
KAN,grad,0,core_interaction,1024,100,0.0,11,0.5984475612640381,0
KAN,grad,0,core_interaction,1024,100,0.0,12,0.3685593605041504,0
KAN,grad,0,core_interaction,1024,100,0.0,13,0.4112289547920227,0
KAN,grad,0,core_interaction,1024,100,0.0,14,0.5189719200134277,0
KAN,grad,0,core_interaction,1024,100,0.0,15,0.6229769587516785,0
KAN,grad,0,core_interaction,1024,100,0.0,16,0.5495004653930664,0
KAN,grad,0,core_interaction,1024,100,0.0,17,0.7290531396865845,0
KAN,grad,0,core_interaction,1024,100,0.0,18,0.6058683395385742,0
KAN,grad,0,core_interaction,1024,100,0.0,19,0.6387895345687866,0
KAN,grad,0,core_interaction,1024,100,0.0,20,0.28173118829727173,0
KAN,grad,0,core_interaction,1024,100,0.0,21,0.49769628047943115,0
KAN,grad,0,core_interaction,1024,100,0.0,22,0.75323486328125,0
KAN,grad,0,core_interaction,1024,100,0.0,23,0.7501055002212524,0
KAN,grad,0,core_interaction,1024,100,0.0,24,0.719685971736908,0
KAN,grad,0,core_interaction,1024,100,0.0,25,0.5258346796035767,0
KAN,grad,0,core_interaction,1024,100,0.0,26,0.5524755716323853,0
KAN,grad,0,core_interaction,1024,100,0.0,27,0.30863702297210693,0
KAN,grad,0,core_interaction,1024,100,0.0,28,0.6420646905899048,0
KAN,grad,0,core_interaction,1024,100,0.0,29,0.6380831003189087,0
KAN,grad,0,core_interaction,1024,100,0.0,30,0.6985456943511963,0
KAN,grad,0,core_interaction,1024,100,0.0,31,0.5544846653938293,0
KAN,grad,0,core_interaction,1024,100,0.0,32,0.7165374159812927,0
KAN,grad,0,core_interaction,1024,100,0.0,33,0.3015021085739136,0
KAN,grad,0,core_interaction,1024,100,0.0,34,0.6515982151031494,0
KAN,grad,0,core_interaction,1024,100,0.0,35,0.5384203195571899,0
KAN,grad,0,core_interaction,1024,100,0.0,36,0.5447571277618408,0
KAN,grad,0,core_interaction,1024,100,0.0,37,0.37003177404403687,0
KAN,grad,0,core_interaction,1024,100,0.0,38,0.433810830116272,0
KAN,grad,0,core_interaction,1024,100,0.0,39,0.4511687457561493,0
KAN,grad,0,core_interaction,1024,100,0.0,40,0.5998725891113281,0
KAN,grad,0,core_interaction,1024,100,0.0,41,0.4262790083885193,0
KAN,grad,0,core_interaction,1024,100,0.0,42,0.6847292184829712,0
KAN,grad,0,core_interaction,1024,100,0.0,43,0.6291571855545044,0
KAN,grad,0,core_interaction,1024,100,0.0,44,0.7078461647033691,0
KAN,grad,0,core_interaction,1024,100,0.0,45,0.3918311595916748,0
KAN,grad,0,core_interaction,1024,100,0.0,46,0.5446135997772217,0
KAN,grad,0,core_interaction,1024,100,0.0,47,0.4159439206123352,0
KAN,grad,0,core_interaction,1024,100,0.0,48,0.2939068078994751,0
KAN,grad,0,core_interaction,1024,100,0.0,49,0.6905934810638428,0
KAN,grad,0,core_interaction,1024,100,0.0,50,0.45775479078292847,0
KAN,grad,0,core_interaction,1024,100,0.0,51,0.4464132785797119,0
KAN,grad,0,core_interaction,1024,100,0.0,52,0.6698834896087646,0
KAN,grad,0,core_interaction,1024,100,0.0,53,0.3849879503250122,0
KAN,grad,0,core_interaction,1024,100,0.0,54,0.555997908115387,0
KAN,grad,0,core_interaction,1024,100,0.0,55,0.43817323446273804,0
KAN,grad,0,core_interaction,1024,100,0.0,56,0.4822671413421631,0
KAN,grad,0,core_interaction,1024,100,0.0,57,0.6052606105804443,0
KAN,grad,0,core_interaction,1024,100,0.0,58,0.5514751076698303,0
KAN,grad,0,core_interaction,1024,100,0.0,59,0.5559332370758057,0
KAN,grad,0,core_interaction,1024,100,0.0,60,0.6528931856155396,0
