model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,score_x20,score_x21,score_x22,score_x23,score_x24,score_x25,score_x26,score_x27,score_x28,score_x29,score_x30,score_x31,score_x32,score_x33,score_x34,score_x35,score_x36,score_x37,score_x38,score_x39,score_x40,score_x41,score_x42,score_x43,score_x44,score_x45,score_x46,score_x47,score_x48,score_x49
KAN,grad,0,core_interaction,1024,50,0.1,0.7727633714675903,5.402284397604262e-09,"[0, 1, 2, 17]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,4.225870132446289,1.6257020235061646,0.6084854602813721,0.408149778842926,0.24417626857757568,0.4495806097984314,0.5463672876358032,0.5025643706321716,0.4150291979312897,0.30050089955329895,0.45428740978240967,0.4537060856819153,0.3348591923713684,0.3313503563404083,0.3810548782348633,0.3475230932235718,0.3964529037475586,0.625312089920044,0.41686907410621643,0.3083503544330597,0.4764687418937683,0.5156420469284058,0.49443644285202026,0.37856391072273254,0.5737767219543457,0.5857985019683838,0.3642778992652893,0.392582505941391,0.47458475828170776,0.2713339924812317,0.5988119840621948,0.3011760711669922,0.40416866540908813,0.40215837955474854,0.49282801151275635,0.4182887375354767,0.39971768856048584,0.2928956151008606,0.3495826721191406,0.41029250621795654,0.3163822293281555,0.42642438411712646,0.4515036940574646,0.3616757094860077,0.33743423223495483,0.3274480402469635,0.6003733277320862,0.38956403732299805,0.4449952244758606,0.5109537839889526
KAN,perm,0,core_interaction,1024,50,0.1,0.7727633714675903,5.402284397604262e-09,"[0, 1, 42, 48]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,1.364437460899353,0.2485378533601761,0.0,0.0042499699629843235,0.0,0.004024863243103027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015477299690246582,0.0051972270011901855,0.0,0.002999504329636693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011412620544433594,0.0,0.0,0.0,0.0,0.0,0.0003136197628919035,0.0,0.0,0.0,0.0,0.0005783836240880191,0.0,0.0,0.0,0.0,0.03461642935872078,0.0,0.0,0.0,0.013363202102482319,0.0,0.03405837342143059,0.0
KAN,grad,1,core_interaction,1024,50,0.1,1.0380663871765137,2.238388674413727e-07,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,3.6498451232910156,1.0262144804000854,0.8380541801452637,0.7339762449264526,0.4689435064792633,0.4559040665626526,0.45456886291503906,0.3627662658691406,0.5640292167663574,0.19644875824451447,0.27659234404563904,0.5317474603652954,0.42540571093559265,0.41521018743515015,0.3841431140899658,0.24651126563549042,0.4123641848564148,0.47916650772094727,0.25559696555137634,0.29413461685180664,0.5526907444000244,0.5104267001152039,0.4408496916294098,0.3398812413215637,0.654941201210022,0.5536530017852783,0.4608513116836548,0.4649967551231384,0.3695991039276123,0.43195992708206177,0.37150561809539795,0.23793259263038635,0.4460691809654236,0.6031090021133423,0.4016055464744568,0.5586000680923462,0.3908435106277466,0.35496973991394043,0.3185788691043854,0.3646687865257263,0.42565467953681946,0.42577457427978516,0.2961543798446655,0.3013572692871094,0.338399201631546,0.524468183517456,0.3952654004096985,0.35060030221939087,0.47728556394577026,0.3683246970176697
KAN,perm,1,core_interaction,1024,50,0.1,1.0380663871765137,2.238388674413727e-07,"[0, 1, 3, 35]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,1.2267554998397827,0.1922801285982132,0.1261698603630066,0.23013991117477417,0.0,0.014615833759307861,0.05283711478114128,0.0,0.0,0.03558405116200447,0.0,0.0,0.0,0.019567787647247314,0.017506837844848633,0.02550983428955078,0.06492286920547485,0.07446557283401489,0.011374552734196186,0.0,0.039264798164367676,0.0,0.0,0.03272902965545654,0.0,0.07845079898834229,0.0021773974876850843,0.0377778597176075,0.1618204116821289,0.02021566964685917,0.11607042700052261,0.010685861110687256,0.004396060947328806,0.11842425912618637,0.091582752764225,0.16857774555683136,0.0,0.0,0.04333978891372681,0.01229029893875122,0.004016379360109568,0.0,0.0,0.08598313480615616,0.05254264548420906,0.003690262557938695,0.0,0.015757262706756592,0.0,0.025697311386466026
KAN,grad,2,core_interaction,1024,50,0.1,0.6689068078994751,4.393755048681669e-08,"[0, 1, 11, 41]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,4.241623878479004,1.0882766246795654,0.5129623413085938,0.49785563349723816,0.32063978910446167,0.4396447539329529,0.2723828852176666,0.3396623134613037,0.33023324608802795,0.31570670008659363,0.395830363035202,0.5205715894699097,0.3563697934150696,0.36186468601226807,0.30595988035202026,0.29080379009246826,0.4491026699542999,0.4099946618080139,0.3855515122413635,0.3759949207305908,0.47710394859313965,0.40081125497817993,0.40471890568733215,0.3765074908733368,0.4304225742816925,0.32613468170166016,0.23983332514762878,0.45704489946365356,0.2566295862197876,0.3547686040401459,0.4181601405143738,0.3912649154663086,0.43672776222229004,0.353367418050766,0.38460779190063477,0.2158098667860031,0.4038412272930145,0.38492023944854736,0.4431954324245453,0.31100961565971375,0.38609999418258667,0.5971020460128784,0.4078672528266907,0.3620379567146301,0.4151287078857422,0.5047881603240967,0.42979252338409424,0.4062126874923706,0.22867588698863983,0.23385873436927795
KAN,perm,2,core_interaction,1024,50,0.1,0.6689068078994751,4.393755048681669e-08,"[0, 1, 3, 36]","[0, 1, 2, 3]",0.75,0.75,0.75,sin(2*pi*x0) + x1^2 + x2*x3,1.3320674896240234,0.19117093086242676,0.017479777336120605,0.025720059871673584,0.022861897945404053,0.0,0.0,0.0,0.0,0.0,0.012145201675593853,0.0,0.0,0.0,0.0,0.006946066860109568,0.007670044898986816,0.0,0.0,0.0026279885787516832,0.0,0.0,0.018544098362326622,0.006074845790863037,0.0,0.0,0.0,0.01534463930875063,0.001493990421295166,0.0,0.0017785629024729133,0.009235222823917866,0.0,0.006324211601167917,0.0,0.0037416417617350817,0.027162829414010048,0.0,0.009022335521876812,0.0,0.0,0.016457995399832726,0.0,0.00803856085985899,0.0,0.02384605072438717,0.0,0.0022590160369873047,0.0,0.010210196487605572
KAN,grad,3,core_interaction,1024,50,0.1,0.9786618947982788,1.143441519246835e-08,"[0, 1, 7, 44]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,4.260053634643555,1.094936490058899,0.4485437870025635,0.4964050352573395,0.33106958866119385,0.507804274559021,0.6892136335372925,0.7246778011322021,0.4179750680923462,0.522635817527771,0.40550071001052856,0.45656007528305054,0.3757602572441101,0.4107910096645355,0.6074620485305786,0.6225786805152893,0.4328332841396332,0.47316741943359375,0.5337189435958862,0.5435425639152527,0.3418867588043213,0.5814258456230164,0.3324697017669678,0.4784998297691345,0.5478001832962036,0.32218265533447266,0.39603543281555176,0.7217860221862793,0.5061781406402588,0.6261353492736816,0.5263020992279053,0.4270366430282593,0.39973998069763184,0.557463526725769,0.5357297658920288,0.5086913108825684,0.5249165892601013,0.5170713067054749,0.6753419041633606,0.686537504196167,0.46366649866104126,0.43816837668418884,0.5411856770515442,0.3904465436935425,0.7534548044204712,0.560538113117218,0.4916546940803528,0.36371785402297974,0.4319077134132385,0.5528448820114136
KAN,perm,3,core_interaction,1024,50,0.1,0.9786618947982788,1.143441519246835e-08,"[0, 1, 7, 38]","[0, 1, 2, 3]",0.5,0.5,0.5,sin(2*pi*x0) + x1^2 + x2*x3,1.2027547359466553,0.16480553150177002,0.0,0.0,0.006373047828674316,0.0,0.0,0.035725515335798264,0.022061506286263466,0.035423438996076584,0.0,0.0,0.0,0.0,0.0,0.0,0.02446051500737667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007145881652832031,0.018464604392647743,0.0,0.0,0.0,0.0,0.016957124695181847,0.0,0.0,0.0,0.0,0.0,0.007046977523714304,0.022508302703499794,0.061803579330444336,0.0005208253860473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007041811943054199,0.0
KAN,grad,4,core_interaction,1024,50,0.1,0.10974839329719543,3.1821338097870466e-07,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.592608451843262,1.1458649635314941,0.6485332250595093,0.5904544591903687,0.12051094323396683,0.1418536901473999,0.08959555625915527,0.22690153121948242,0.15396447479724884,0.1937197893857956,0.23094433546066284,0.11158116161823273,0.15768219530582428,0.17803484201431274,0.12418990582227707,0.12289191782474518,0.1123696118593216,0.14678773283958435,0.1044694185256958,0.15099826455116272,0.15857769548892975,0.12165655195713043,0.18511104583740234,0.16427524387836456,0.14419052004814148,0.12297916412353516,0.19000762701034546,0.15626408159732819,0.1426394283771515,0.13823382556438446,0.2333957850933075,0.09964476525783539,0.1813167780637741,0.1350947618484497,0.11892467737197876,0.10941579192876816,0.1561225950717926,0.17813339829444885,0.10453018546104431,0.09715647995471954,0.1525869369506836,0.10920131951570511,0.12766334414482117,0.13318200409412384,0.14957331120967865,0.17835178971290588,0.1938498169183731,0.13233338296413422,0.10495859384536743,0.14219047129154205
KAN,perm,4,core_interaction,1024,50,0.1,0.10974839329719543,3.1821338097870466e-07,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3848447799682617,0.25627800822257996,0.31913062930107117,0.3097192943096161,0.0028344939928501844,0.0,0.0005894650821574032,0.0,0.0,6.401538848876953e-05,7.57103189243935e-05,0.0,0.0032997678499668837,0.0,0.003111188532784581,0.0,0.0,0.0011538490653038025,0.0012769276509061456,0.0,0.0037376508116722107,0.0011545693268999457,0.0018871525535359979,0.0012152815470471978,0.0,0.0,0.0012726783752441406,0.0,0.0,0.0,0.0,0.0,0.0013290842762216926,0.0021180163603276014,0.0,0.0,0.0,0.0019631560426205397,0.0,0.0016563659301027656,0.002748931525275111,0.0,0.001258293748833239,0.0,0.0,0.0,0.002271689474582672,0.002058163285255432,0.0002917622623499483,0.0006437202100642025
