model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,variable_auroc,variable_auprc,importance_scores,formula,active_score_mean,active_score_median,inactive_score_mean,inactive_score_median,active_score_min,inactive_score_max,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
KAN,grad,0,correlated_proxy,1024,20,0.0,5.8577843446983024e-05,1.699027416179888e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[4.825677394866943, 1.2001807689666748, 0.5923947095870972, 0.5934097170829773, 0.014777552336454391, 0.02077799290418625, 0.004040217492729425, 0.006795641500502825, 0.0032001188956201077, 0.004625398200005293, 0.00505593279376626, 0.0024610073305666447, 0.004927050322294235, 0.004690771922469139, 0.003097282024100423, 0.0029939203523099422, 0.006023419089615345, 0.004109919536858797, 0.0038878016639500856, 0.005627650301903486]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,1.8029156476259232,0.896795243024826,0.006068229791708291,0.004658085061237216,0.5923947095870972,0.02077799290418625,4.825677394866943,1.2001807689666748,0.5923947095870972,0.5934097170829773,0.014777552336454391,0.02077799290418625,0.004040217492729425,0.006795641500502825,0.0032001188956201077,0.004625398200005293,0.00505593279376626,0.0024610073305666447,0.004927050322294235,0.004690771922469139,0.003097282024100423,0.0029939203523099422,0.006023419089615345,0.004109919536858797,0.0038878016639500856,0.005627650301903486
KAN,perm,0,correlated_proxy,1024,20,0.0,5.8577843446983024e-05,1.699027416179888e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[1.3776508569717407, 0.24389494955539703, 0.32977190613746643, 0.328340083360672, 0.002578386338427663, 0.0002660341851878911, 1.6161817484316998e-06, 5.918215606470767e-07, 2.842425601556897e-07, 0.0, 9.338230597677466e-07, 0.0, 2.420444388917531e-06, 0.0, 0.0, 0.0, 3.5893268091058417e-07, 1.0609559097929377e-07, 3.255093758980365e-07, 0.0]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.569914449006319,0.3290559947490692,0.00017819109841132885,3.048759680268631e-07,0.24389494955539703,0.002578386338427663,1.3776508569717407,0.24389494955539703,0.32977190613746643,0.328340083360672,0.002578386338427663,0.0002660341851878911,1.6161817484316998e-06,5.918215606470767e-07,2.842425601556897e-07,0.0,9.338230597677466e-07,0.0,2.420444388917531e-06,0.0,0.0,0.0,3.5893268091058417e-07,1.0609559097929377e-07,3.255093758980365e-07,0.0
KAN,grad,1,correlated_proxy,1024,20,0.0,2.4313518224516883e-05,1.0919629858108237e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[4.798099994659424, 1.228700876235962, 0.5994647145271301, 0.5886776447296143, 0.02630988322198391, 0.011211663484573364, 0.0047088079154491425, 0.0028576580807566643, 0.006153351627290249, 0.004864974413067102, 0.0033190534450113773, 0.00597760546952486, 0.0061155809089541435, 0.004003283567726612, 0.0026401691138744354, 0.003449255134910345, 0.003075001062825322, 0.0032150575425475836, 0.004409359768033028, 0.002538136439397931]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,1.8037358075380325,0.914082795381546,0.005928052574745379,0.00420632166787982,0.5886776447296143,0.02630988322198391,4.798099994659424,1.228700876235962,0.5994647145271301,0.5886776447296143,0.02630988322198391,0.011211663484573364,0.0047088079154491425,0.0028576580807566643,0.006153351627290249,0.004864974413067102,0.0033190534450113773,0.00597760546952486,0.0061155809089541435,0.004003283567726612,0.0026401691138744354,0.003449255134910345,0.003075001062825322,0.0032150575425475836,0.004409359768033028,0.002538136439397931
KAN,perm,1,correlated_proxy,1024,20,0.0,2.4313518224516883e-05,1.0919629858108237e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[1.4206432104110718, 0.254518061876297, 0.3194926381111145, 0.3079881966114044, 0.0001607105805305764, 8.216729474952444e-05, 1.532795721459479e-07, 0.0, 5.033974161960941e-07, 1.0613015177796115e-07, 0.0, 1.1360461940057576e-06, 0.0, 5.816485213472333e-07, 5.126724431647744e-07, 0.0, 2.1966722840716102e-07, 0.0, 0.0, 3.031794619801076e-07]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.5756605267524719,0.31374041736125946,1.5399618516820368e-05,1.8647340027655446e-07,0.254518061876297,0.0001607105805305764,1.4206432104110718,0.254518061876297,0.3194926381111145,0.3079881966114044,0.0001607105805305764,8.216729474952444e-05,1.532795721459479e-07,0.0,5.033974161960941e-07,1.0613015177796115e-07,0.0,1.1360461940057576e-06,0.0,5.816485213472333e-07,5.126724431647744e-07,0.0,2.1966722840716102e-07,0.0,0.0,3.031794619801076e-07
KAN,grad,2,correlated_proxy,1024,20,0.0,7.615245704073459e-05,1.9409026208450086e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[4.66962194442749, 1.1831339597702026, 0.5632834434509277, 0.5628314018249512, 0.018951039761304855, 0.020625127479434013, 0.0035758146550506353, 0.007578181568533182, 0.005734645761549473, 0.005122057162225246, 0.00416911393404007, 0.004338922910392284, 0.007093789987266064, 0.003547286381945014, 0.005834665149450302, 0.004745884798467159, 0.0043068923987448215, 0.004367089830338955, 0.005077534820884466, 0.005902159959077835]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,1.744717687368393,0.8732087016105652,0.0069356379099190235,0.005099795991554856,0.5628314018249512,0.020625127479434013,4.66962194442749,1.1831339597702026,0.5632834434509277,0.5628314018249512,0.018951039761304855,0.020625127479434013,0.0035758146550506353,0.007578181568533182,0.005734645761549473,0.005122057162225246,0.00416911393404007,0.004338922910392284,0.007093789987266064,0.003547286381945014,0.005834665149450302,0.004745884798467159,0.0043068923987448215,0.004367089830338955,0.005077534820884466,0.005902159959077835
KAN,perm,2,correlated_proxy,1024,20,0.0,7.615245704073459e-05,1.9409026208450086e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[1.328101396560669, 0.22777259349822998, 0.29535290598869324, 0.28112077713012695, 0.0005644307821057737, 8.06861644377932e-05, 2.8761618864336924e-07, 5.405308911576867e-08, 0.0, 0.0, 1.14241754545219e-06, 1.8488984778741724e-06, 1.745502231642604e-07, 1.2235395843163133e-06, 0.0, 1.822811668716895e-06, 0.0, 0.0, 1.8893066453529173e-06, 9.20554157346487e-08]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.5330869182944298,0.2882368415594101,4.085326221137109e-05,2.3108320590381481e-07,0.22777259349822998,0.0005644307821057737,1.328101396560669,0.22777259349822998,0.29535290598869324,0.28112077713012695,0.0005644307821057737,8.06861644377932e-05,2.8761618864336924e-07,5.405308911576867e-08,0.0,0.0,1.14241754545219e-06,1.8488984778741724e-06,1.745502231642604e-07,1.2235395843163133e-06,0.0,1.822811668716895e-06,0.0,0.0,1.8893066453529173e-06,9.20554157346487e-08
KAN,grad,3,correlated_proxy,1024,20,0.0,4.1323815821669996e-05,1.3181412214180455e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[4.850263595581055, 1.170737624168396, 0.6292052865028381, 0.6145052909851074, 0.010764878243207932, 0.014539328403770924, 0.005602477118372917, 0.003946870565414429, 0.003748022485524416, 0.00408136285841465, 0.0026185952592641115, 0.003232009941712022, 0.005833686329424381, 0.007495063357055187, 0.0028724572621285915, 0.004708245396614075, 0.004787375219166279, 0.003421052359044552, 0.0029442969243973494, 0.002511687343940139]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,1.816177949309349,0.8999714553356171,0.005194213066715747,0.004014116711914539,0.6145052909851074,0.014539328403770924,4.850263595581055,1.170737624168396,0.6292052865028381,0.6145052909851074,0.010764878243207932,0.014539328403770924,0.005602477118372917,0.003946870565414429,0.003748022485524416,0.00408136285841465,0.0026185952592641115,0.003232009941712022,0.005833686329424381,0.007495063357055187,0.0028724572621285915,0.004708245396614075,0.004787375219166279,0.003421052359044552,0.0029442969243973494,0.002511687343940139
KAN,perm,3,correlated_proxy,1024,20,0.0,4.1323815821669996e-05,1.3181412214180455e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[1.4921226501464844, 0.256718248128891, 0.34359169006347656, 0.3371194303035736, 0.00023283518385142088, 5.338411938282661e-05, 0.0, 2.8406066121533513e-07, 3.7808908359693305e-07, 7.651408964193251e-07, 4.2557925894470827e-07, 0.0, 0.0, 2.812679156249942e-07, 0.0, 0.0, 4.355606506578624e-07, 0.0, 0.0, 0.0]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.6073880046606064,0.3403555601835251,1.8049312606294166e-05,1.406339578124971e-07,0.256718248128891,0.00023283518385142088,1.4921226501464844,0.256718248128891,0.34359169006347656,0.3371194303035736,0.00023283518385142088,5.338411938282661e-05,0.0,2.8406066121533513e-07,3.7808908359693305e-07,7.651408964193251e-07,4.2557925894470827e-07,0.0,0.0,2.812679156249942e-07,0.0,0.0,4.355606506578624e-07,0.0,0.0,0.0
KAN,grad,4,correlated_proxy,1024,20,0.0,6.348245369736105e-05,2.4228500478784554e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[4.898613929748535, 1.232642650604248, 0.6133462190628052, 0.5992937088012695, 0.01240866631269455, 0.011900695040822029, 0.004426722414791584, 0.002069580601528287, 0.0025847016368061304, 0.002108791144564748, 0.0025527379475533962, 0.004500517155975103, 0.003917017951607704, 0.0044826315715909, 0.002470628824084997, 0.004094672854989767, 0.0028058504685759544, 0.003994783386588097, 0.002970402594655752, 0.00392909487709403]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,1.8359741270542145,0.9229944348335266,0.004451093423995189,0.003923056414350867,0.5992937088012695,0.01240866631269455,4.898613929748535,1.232642650604248,0.6133462190628052,0.5992937088012695,0.01240866631269455,0.011900695040822029,0.004426722414791584,0.002069580601528287,0.0025847016368061304,0.002108791144564748,0.0025527379475533962,0.004500517155975103,0.003917017951607704,0.0044826315715909,0.002470628824084997,0.004094672854989767,0.0028058504685759544,0.003994783386588097,0.002970402594655752,0.00392909487709403
KAN,perm,4,correlated_proxy,1024,20,0.0,6.348245369736105e-05,2.4228500478784554e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[1.3762747049331665, 0.259240984916687, 0.3455158770084381, 0.35313084721565247, 0.0005554695962928236, 8.988264744402841e-05, 3.856184775941074e-07, 7.366664789287825e-08, 2.3783407243627153e-07, 0.0, 0.0, 7.335304985645053e-07, 1.322259777225554e-07, 0.0, 0.0, 0.0, 6.09761627856642e-07, 3.948856317492755e-07, 1.8462014850229025e-07, 5.0453916600190496e-08]",sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,0.583540603518486,0.3493233621120453,4.050967754598567e-05,1.5842306311242282e-07,0.259240984916687,0.0005554695962928236,1.3762747049331665,0.259240984916687,0.3455158770084381,0.35313084721565247,0.0005554695962928236,8.988264744402841e-05,3.856184775941074e-07,7.366664789287825e-08,2.3783407243627153e-07,0.0,0.0,7.335304985645053e-07,1.322259777225554e-07,0.0,0.0,0.0,6.09761627856642e-07,3.948856317492755e-07,1.8462014850229025e-07,5.0453916600190496e-08
