model,explain_method,seed,function,samples,dimension,noise,variable,score,is_active
KAN,grad,0,correlated_proxy,512,100,0.05,0,0.5443732738494873,1
KAN,grad,0,correlated_proxy,512,100,0.05,1,0.3858262300491333,1
KAN,grad,0,correlated_proxy,512,100,0.05,2,0.1704883873462677,1
KAN,grad,0,correlated_proxy,512,100,0.05,3,0.30196356773376465,1
KAN,grad,0,correlated_proxy,512,100,0.05,4,0.48287850618362427,0
KAN,grad,0,correlated_proxy,512,100,0.05,5,0.2538868188858032,0
KAN,grad,0,correlated_proxy,512,100,0.05,6,0.25350600481033325,0
KAN,grad,0,correlated_proxy,512,100,0.05,7,0.5419315099716187,0
KAN,grad,0,correlated_proxy,512,100,0.05,8,0.27777624130249023,0
KAN,grad,0,correlated_proxy,512,100,0.05,9,0.6154106855392456,0
KAN,grad,0,correlated_proxy,512,100,0.05,10,0.30220142006874084,0
KAN,grad,0,correlated_proxy,512,100,0.05,11,0.5925011038780212,0
KAN,grad,0,correlated_proxy,512,100,0.05,12,0.26724791526794434,0
KAN,grad,0,correlated_proxy,512,100,0.05,13,0.3296215534210205,0
KAN,grad,0,correlated_proxy,512,100,0.05,14,0.48939815163612366,0
KAN,grad,0,correlated_proxy,512,100,0.05,15,0.2295973002910614,0
KAN,grad,0,correlated_proxy,512,100,0.05,16,0.5609613656997681,0
KAN,grad,0,correlated_proxy,512,100,0.05,17,0.41460728645324707,0
KAN,grad,0,correlated_proxy,512,100,0.05,18,0.23508530855178833,0
KAN,grad,0,correlated_proxy,512,100,0.05,19,0.5958820581436157,0
KAN,grad,0,correlated_proxy,512,100,0.05,20,0.5865180492401123,0
KAN,grad,0,correlated_proxy,512,100,0.05,21,0.27560731768608093,0
KAN,grad,0,correlated_proxy,512,100,0.05,22,0.2133520543575287,0
KAN,grad,0,correlated_proxy,512,100,0.05,23,0.6209207773208618,0
KAN,grad,0,correlated_proxy,512,100,0.05,24,0.5255025029182434,0
KAN,grad,0,correlated_proxy,512,100,0.05,25,0.2778787612915039,0
KAN,grad,0,correlated_proxy,512,100,0.05,26,0.5010974407196045,0
KAN,grad,0,correlated_proxy,512,100,0.05,27,0.27789008617401123,0
KAN,grad,0,correlated_proxy,512,100,0.05,28,0.2802993059158325,0
KAN,grad,0,correlated_proxy,512,100,0.05,29,0.3775191903114319,0
KAN,grad,0,correlated_proxy,512,100,0.05,30,0.2129390984773636,0
KAN,grad,0,correlated_proxy,512,100,0.05,31,0.3109927177429199,0
KAN,grad,0,correlated_proxy,512,100,0.05,32,0.4921015202999115,0
KAN,grad,0,correlated_proxy,512,100,0.05,33,0.4701882302761078,0
KAN,grad,0,correlated_proxy,512,100,0.05,34,0.19975516200065613,0
KAN,grad,0,correlated_proxy,512,100,0.05,35,0.40695053339004517,0
KAN,grad,0,correlated_proxy,512,100,0.05,36,0.5526390075683594,0
KAN,grad,0,correlated_proxy,512,100,0.05,37,0.26370537281036377,0
KAN,grad,0,correlated_proxy,512,100,0.05,38,0.3767051100730896,0
KAN,grad,0,correlated_proxy,512,100,0.05,39,0.21551623940467834,0
KAN,grad,0,correlated_proxy,512,100,0.05,40,0.5627187490463257,0
KAN,grad,0,correlated_proxy,512,100,0.05,41,0.22479528188705444,0
KAN,grad,0,correlated_proxy,512,100,0.05,42,0.15342983603477478,0
KAN,grad,0,correlated_proxy,512,100,0.05,43,0.5617785453796387,0
KAN,grad,0,correlated_proxy,512,100,0.05,44,0.3423697352409363,0
KAN,grad,0,correlated_proxy,512,100,0.05,45,0.4619879126548767,0
KAN,grad,0,correlated_proxy,512,100,0.05,46,0.27785906195640564,0
KAN,grad,0,correlated_proxy,512,100,0.05,47,0.4376717805862427,0
KAN,grad,0,correlated_proxy,512,100,0.05,48,0.2143160104751587,0
KAN,grad,0,correlated_proxy,512,100,0.05,49,0.5146397352218628,0
KAN,grad,0,correlated_proxy,512,100,0.05,50,0.4863622486591339,0
