model,explain_method,seed,function,samples,dimension,noise,variable,score,is_active
KAN,grad,0,correlated_proxy,1024,20,0.0,0,4.825677394866943,1
KAN,grad,0,correlated_proxy,1024,20,0.0,1,1.2001807689666748,1
KAN,grad,0,correlated_proxy,1024,20,0.0,2,0.5923947095870972,1
KAN,grad,0,correlated_proxy,1024,20,0.0,3,0.5934097170829773,1
KAN,grad,0,correlated_proxy,1024,20,0.0,4,0.014777552336454391,0
KAN,grad,0,correlated_proxy,1024,20,0.0,5,0.02077799290418625,0
KAN,grad,0,correlated_proxy,1024,20,0.0,6,0.004040217492729425,0
KAN,grad,0,correlated_proxy,1024,20,0.0,7,0.006795641500502825,0
KAN,grad,0,correlated_proxy,1024,20,0.0,8,0.0032001188956201077,0
KAN,grad,0,correlated_proxy,1024,20,0.0,9,0.004625398200005293,0
KAN,grad,0,correlated_proxy,1024,20,0.0,10,0.00505593279376626,0
KAN,grad,0,correlated_proxy,1024,20,0.0,11,0.0024610073305666447,0
KAN,grad,0,correlated_proxy,1024,20,0.0,12,0.004927050322294235,0
KAN,grad,0,correlated_proxy,1024,20,0.0,13,0.004690771922469139,0
KAN,grad,0,correlated_proxy,1024,20,0.0,14,0.003097282024100423,0
KAN,grad,0,correlated_proxy,1024,20,0.0,15,0.0029939203523099422,0
KAN,grad,0,correlated_proxy,1024,20,0.0,16,0.006023419089615345,0
KAN,grad,0,correlated_proxy,1024,20,0.0,17,0.004109919536858797,0
KAN,grad,0,correlated_proxy,1024,20,0.0,18,0.0038878016639500856,0
KAN,grad,0,correlated_proxy,1024,20,0.0,19,0.005627650301903486,0
KAN,perm,0,correlated_proxy,1024,20,0.0,0,1.3776508569717407,1
KAN,perm,0,correlated_proxy,1024,20,0.0,1,0.24389494955539703,1
KAN,perm,0,correlated_proxy,1024,20,0.0,2,0.32977190613746643,1
KAN,perm,0,correlated_proxy,1024,20,0.0,3,0.328340083360672,1
KAN,perm,0,correlated_proxy,1024,20,0.0,4,0.002578386338427663,0
KAN,perm,0,correlated_proxy,1024,20,0.0,5,0.0002660341851878911,0
KAN,perm,0,correlated_proxy,1024,20,0.0,6,1.6161817484316998e-06,0
KAN,perm,0,correlated_proxy,1024,20,0.0,7,5.918215606470767e-07,0
KAN,perm,0,correlated_proxy,1024,20,0.0,8,2.842425601556897e-07,0
KAN,perm,0,correlated_proxy,1024,20,0.0,9,0.0,0
KAN,perm,0,correlated_proxy,1024,20,0.0,10,9.338230597677466e-07,0
KAN,perm,0,correlated_proxy,1024,20,0.0,11,0.0,0
KAN,perm,0,correlated_proxy,1024,20,0.0,12,2.420444388917531e-06,0
KAN,perm,0,correlated_proxy,1024,20,0.0,13,0.0,0
KAN,perm,0,correlated_proxy,1024,20,0.0,14,0.0,0
KAN,perm,0,correlated_proxy,1024,20,0.0,15,0.0,0
KAN,perm,0,correlated_proxy,1024,20,0.0,16,3.5893268091058417e-07,0
KAN,perm,0,correlated_proxy,1024,20,0.0,17,1.0609559097929377e-07,0
KAN,perm,0,correlated_proxy,1024,20,0.0,18,3.255093758980365e-07,0
KAN,perm,0,correlated_proxy,1024,20,0.0,19,0.0,0
KAN,grad,1,correlated_proxy,1024,20,0.0,0,4.798099994659424,1
KAN,grad,1,correlated_proxy,1024,20,0.0,1,1.228700876235962,1
KAN,grad,1,correlated_proxy,1024,20,0.0,2,0.5994647145271301,1
KAN,grad,1,correlated_proxy,1024,20,0.0,3,0.5886776447296143,1
KAN,grad,1,correlated_proxy,1024,20,0.0,4,0.02630988322198391,0
KAN,grad,1,correlated_proxy,1024,20,0.0,5,0.011211663484573364,0
KAN,grad,1,correlated_proxy,1024,20,0.0,6,0.0047088079154491425,0
KAN,grad,1,correlated_proxy,1024,20,0.0,7,0.0028576580807566643,0
KAN,grad,1,correlated_proxy,1024,20,0.0,8,0.006153351627290249,0
