model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,selected_interactions,true_interactions,interaction_precision,interaction_recall,interaction_f1,source_file,lamb,setting,score_x20,score_x21,score_x22,score_x23,score_x24,score_x25,score_x26,score_x27,score_x28,score_x29,score_x30,score_x31,score_x32,score_x33,score_x34,score_x35,score_x36,score_x37,score_x38,score_x39,score_x40,score_x41,score_x42,score_x43,score_x44,score_x45,score_x46,score_x47,score_x48,score_x49,score_x50,score_x51,score_x52,score_x53,score_x54,score_x55,score_x56,score_x57,score_x58,score_x59,score_x60,score_x61,score_x62,score_x63,score_x64,score_x65,score_x66,score_x67,score_x68,score_x69,score_x70,score_x71,score_x72,score_x73,score_x74,score_x75,score_x76,score_x77,score_x78,score_x79,score_x80,score_x81,score_x82,score_x83,score_x84,score_x85,score_x86,score_x87,score_x88,score_x89,score_x90,score_x91,score_x92,score_x93,score_x94,score_x95,score_x96,score_x97,score_x98,score_x99,variable_auroc,variable_auprc,importance_scores,active_score_mean,active_score_median,inactive_score_mean,inactive_score_median,active_score_min,inactive_score_max
KAN,grad,0,compositional,1024,20,0.0,0.0006387237808667,0.0001354826963506,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0982918739318848,1.069553017616272,2.0389528274536133,0.0086988871917128,0.0139404274523258,0.0134154744446277,0.0084081944078207,0.0226372499018907,0.0193188246339559,0.0172588936984539,0.0173615254461765,0.0324530974030494,0.0224003884941339,0.0129011766985058,0.0147822322323918,0.0090207103639841,0.0205494128167629,0.0137865236029028,0.0254919752478599,0.0140852127224206,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,0,compositional,1024,20,0.0,0.0006387237808667,0.0001354826963506,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1188288927078247,1.0994274616241455,0.9333812594413756,2.9184545837779297e-06,4.680167421611259e-06,1.2790163054887673e-05,1.1280295439064504e-05,1.894868910312653e-05,0.0,0.0,1.1468655429780483e-05,4.048459231853485e-06,9.8653645181912e-06,0.0,3.9425599425158e-06,4.715305749414256e-06,8.508427526976448e-06,0.0,0.0,1.7732536434778012e-05,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,0,compositional,1024,20,0.0,0.006225446704775,0.0004941447987221,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1046736240386963,1.0880801677703855,2.156780242919922,0.0219256952404975,0.0223244577646255,0.0206109378486871,0.0228399224579334,0.0248056501150131,0.0171059221029281,0.0204465445131063,0.0208430550992488,0.023039698600769,0.021237950772047,0.0216668676584959,0.0206680931150913,0.024086395278573,0.0215591117739677,0.0276159197092056,0.0202176980674266,0.0288213584572076,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,0,compositional,1024,20,0.0,0.006225446704775,0.0004941447987221,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1179542541503906,1.0973960161209106,0.9287846684455872,0.0001230689958902,0.0002425059938104,0.0,0.0,0.0,0.0,0.0,3.085487333009951e-05,0.0001744755281833,0.0,3.239372745156288e-05,4.689209163188934e-06,9.708650031825528e-05,0.0,0.0001283516176044,0.0,6.717738142469898e-05,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,1,compositional,1024,20,0.0,0.0016292994841933,0.0001563774858368,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1037722826004028,1.0137789249420166,2.0553507804870605,0.0275523699820041,0.0349262952804565,0.0267668068408966,0.0169714652001857,0.0231152642518281,0.0171413458883762,0.0262933243066072,0.0176215395331382,0.0242036208510398,0.0280285254120826,0.0251113511621952,0.0252205654978752,0.0288235507905483,0.0232262015342712,0.0202459879219532,0.0226722043007612,0.0238347314298152,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,1,compositional,1024,20,0.0,0.0016292994841933,0.0001563774858368,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),0.983709752559662,0.9530253410339355,0.8548452258110046,0.0,1.854534821177367e-05,0.0,0.0,4.9381828830519225e-06,0.0,0.0,1.1166906915605068e-05,0.0,0.0,9.674113243818283e-07,3.0591112590627745e-05,0.0,2.3963822968653403e-05,0.0,2.5741057470440865e-05,0.0,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,1,compositional,1024,20,0.0,0.0068810693919658,0.0005534086376428,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.1072369813919067,1.0279271602630615,2.094691276550293,0.0255253911018371,0.0190911442041397,0.0304091051220893,0.0257705487310886,0.027215588837862,0.0290404763072729,0.0284242369234561,0.0249713845551013,0.0235620122402906,0.0228566862642765,0.0264482870697975,0.0262831486761569,0.0247084014117717,0.0259350184351205,0.0218501184135675,0.0248381923884153,0.0199672039598226,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,1,compositional,1024,20,0.0,0.0068810693919658,0.0005534086376428,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),0.9882856011390686,0.9491682052612304,0.8464214205741882,0.0002305461093783,6.352070340653881e-05,0.0,0.0001231295318575,6.942063191672787e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002054440119536,5.204432454775088e-05,7.741447916487232e-05,1.5575438737869263e-05,0.0003243330866098,0.0,,,,,,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,2,compositional,1024,20,0.0,0.001239848206751,0.0001079144276445,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0808773040771484,0.9796993732452391,1.9657244682312007,0.0246495753526687,0.0207687336951494,0.0339307263493537,0.028012491762638,0.0231784619390964,0.0302428808063268,0.0252157654613256,0.016806524246931,0.0220561549067497,0.0344266667962074,0.0130559708923101,0.0199859589338302,0.0189427640289068,0.0222231764346361,0.0239908788353204,0.0309997983276844,0.0281537324190139,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,2,compositional,1024,20,0.0,0.001239848206751,0.0001079144276445,"[0, 1, 2]","[0, 1, 2]",1.0,1.0,1.0,sin(x0*x1 + x2^2),1.0836563110351562,1.0051298141479492,0.8402208685874939,2.481520641595125e-05,0.0,1.271914970857324e-05,0.0,0.0,5.120566584082553e-06,4.722550511360169e-05,6.658025085926056e-06,1.218783017975511e-05,1.8989861928275783e-05,1.3176778338674922e-05,0.0,1.6286076061078347e-05,1.8293774701305665e-05,0.0,0.0,8.01725127530517e-06,"[(0, 1)]","[(0, 1)]",1.0,1.0,1.0,compositional.csv,,"compositional, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
