source_file,setting,function,dimension,samples,noise,lamb,model,explain_method,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,variable_f1_mean,variable_f1_std,variable_f1_min,variable_f1_max,variable_auroc_mean,variable_auroc_std,variable_auroc_min,variable_auroc_max,variable_auprc_mean,variable_auprc_std,variable_auprc_min,variable_auprc_max,interaction_f1_mean,interaction_f1_std,interaction_f1_min,interaction_f1_max,active_score_mean_mean,active_score_mean_std,active_score_mean_min,active_score_mean_max,inactive_score_mean_mean,inactive_score_mean_std,inactive_score_mean_min,inactive_score_mean_max,active_score_min_mean,active_score_min_std,active_score_min_min,active_score_min_max,inactive_score_max_mean,inactive_score_max_std,inactive_score_max_min,inactive_score_max_max
compositional.csv,"compositional, d=20, n=1024, noise=0",compositional,20,1024,0.0,,KAN,grad,0.0001110645825974257,3.644127622073212e-05,6.301044777501374e-05,0.0001563774858368,0.00104938872391356,0.00046010424976382445,0.0005224966444075,0.0016292994841933,1.0,0.0,1.0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
compositional.csv,"compositional, d=20, n=1024, noise=0",compositional,20,1024,0.0,,KAN,perm,0.0001110645825974257,3.644127622073212e-05,6.301044777501374e-05,0.0001563774858368,0.00104938872391356,0.00046010424976382445,0.0005224966444075,0.0016292994841933,1.0,0.0,1.0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
compositional.csv,"compositional, d=20, n=1024, noise=0",compositional,20,1024,0.0,,MLP,grad,0.00049143552314486,4.0604680953484565e-05,0.0004487643309403,0.0005534086376428,0.006355790514498879,0.0008691475570216775,0.0049318973906338,0.0071634533815085,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compositional.csv,"compositional, d=20, n=1024, noise=0",compositional,20,1024,0.0,,MLP,perm,0.00049143552314486,4.0604680953484565e-05,0.0004487643309403,0.0005534086376428,0.006355790514498879,0.0008691475570216775,0.0049318973906338,0.0071634533815085,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_n2048_noise01.csv,"core_interaction, d=100, n=2048, noise=0.1",core_interaction,100,2048,0.1,,KAN,grad,1.3435160582275784e-06,1.5654227624945644e-06,1.2403708637975797e-07,3.2542322969675297e-06,0.7059897318482399,0.33029249203465477,0.1237631514668464,0.9141800403594972,0.6,0.22360679774997896,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_n2048_noise01.csv,"core_interaction, d=100, n=2048, noise=0.1",core_interaction,100,2048,0.1,,KAN,perm,1.3435160582275784e-06,1.5654227624945644e-06,1.2403708637975797e-07,3.2542322969675297e-06,0.7059897318482399,0.33029249203465477,0.1237631514668464,0.9141800403594972,0.65,0.22360679774997896,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00.csv,"core_interaction, d=100, n=1024, noise=0",core_interaction,100,1024,0.0,,KAN,grad,2.288172937237043e-09,2.2343894757953983e-09,1.2303079388598093e-10,5.310657691381948e-09,1.5826495170593262,0.6944029809121084,0.867470383644104,2.56419038772583,0.5,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00.csv,"core_interaction, d=100, n=1024, noise=0",core_interaction,100,1024,0.0,,KAN,perm,2.288172937237043e-09,2.2343894757953983e-09,1.2303079388598093e-10,5.310657691381948e-09,1.5826495170593262,0.6944029809121084,0.867470383644104,2.56419038772583,0.45,0.2091650066335189,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_interactions.csv,"core_interaction, d=100, n=1024, noise=0",core_interaction,100,1024,0.0,,KAN,grad,1.8996457865072537e-09,2.1816473218364293e-09,1.0480586537520151e-10,5.464628749507483e-09,1.5478636622428894,0.6939766244035213,0.913995325565338,2.5240437984466557,0.45,0.11180339887498948,0.25,0.5,0.7020833333333333,0.07039925203793007,0.6302083333333334,0.7942708333333334,0.480403485141391,0.046285619722612276,0.4292929292929293,0.5285443722943723,0.0,0.0,0.0,0.0,1.1076095148921012,0.12843059193843637,0.9429384917020798,1.2575883865356443,0.4057275552302599,0.11292429533844946,0.3121811072342098,0.5834992909803987,0.2853124558925629,0.08315193036278612,0.1789027154445648,0.4119030833244324,0.7524197101593018,0.17234982045458838,0.523790717124939,0.9594738483428956
core_d100_noise00_interactions.csv,"core_interaction, d=100, n=1024, noise=0",core_interaction,100,1024,0.0,,KAN,perm,1.8996457865072537e-09,2.1816473218364293e-09,1.0480586537520151e-10,5.464628749507483e-09,1.5478636622428894,0.6939766244035213,0.913995325565338,2.5240437984466557,0.4,0.13693063937629152,0.25,0.5,0.75625,0.08630367065025868,0.6354166666666667,0.8619791666666666,0.4773321392198319,0.11137223285653468,0.3552031509121061,0.595,0.0,0.0,0.0,0.0,0.23169856542372144,0.08910366991465805,0.1154404307308141,0.3263861150480807,0.01498399134291802,0.011994518362839744,0.0057109178176233,0.0357178224591431,0.00208206970710306,0.0024715958189953525,0.0,0.0059060454368591,0.10053330659866329,0.07251573041667508,0.0304807424545288,0.2179484367370605
core_d100_noise00_lamb0.0001.csv,"core_interaction, d=100, n=1024, noise=0, lambda=0.0001",core_interaction,100,1024,0.0,0.0001,KAN,grad,8.220904651468075e-10,7.566100939610106e-10,6.502461069590737e-11,1.8234553866847134e-09,1.4821483850479127,0.6625479419776572,0.841651439666748,2.458953380584717,0.45,0.11180339887498948,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb0.0001.csv,"core_interaction, d=100, n=1024, noise=0, lambda=0.0001",core_interaction,100,1024,0.0,0.0001,KAN,perm,8.220904651468075e-10,7.566100939610106e-10,6.502461069590737e-11,1.8234553866847134e-09,1.4821483850479127,0.6625479419776572,0.841651439666748,2.458953380584717,0.5,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb0.001.csv,"core_interaction, d=100, n=1024, noise=0, lambda=0.001",core_interaction,100,1024,0.0,0.001,KAN,grad,1.1109858921720673e-09,7.007053888909572e-10,1.9849838439611742e-10,2.097542362022864e-09,1.4899678468704223,0.7415635736176353,0.8328099250793457,2.4610185623168945,0.4,0.13693063937629152,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb0.001.csv,"core_interaction, d=100, n=1024, noise=0, lambda=0.001",core_interaction,100,1024,0.0,0.001,KAN,perm,1.1109858921720673e-09,7.007053888909572e-10,1.9849838439611742e-10,2.097542362022864e-09,1.4899678468704223,0.7415635736176353,0.8328099250793457,2.4610185623168945,0.45,0.11180339887498948,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb0.01.csv,"core_interaction, d=100, n=1024, noise=0, lambda=0.01",core_interaction,100,1024,0.0,0.01,KAN,grad,5.222968457729849e-09,5.000952052593461e-09,3.71227049100753e-10,1.2478585276198828e-08,1.6000709533691406,0.6829918893205058,0.8757631778717041,2.5753402709960938,0.5,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb0.01.csv,"core_interaction, d=100, n=1024, noise=0, lambda=0.01",core_interaction,100,1024,0.0,0.01,KAN,perm,5.222968457729849e-09,5.000952052593461e-09,3.71227049100753e-10,1.2478585276198828e-08,1.6000709533691406,0.6829918893205058,0.8757631778717041,2.5753402709960938,0.35,0.13693063937629152,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb0.05.csv,"core_interaction, d=100, n=1024, noise=0, lambda=0.05",core_interaction,100,1024,0.0,0.05,KAN,grad,1.04368824763168e-09,1.7280073061641666e-09,4.2871140665257095e-11,4.117525431723834e-09,1.5155784726142882,0.6760343246932904,0.9156793355941772,2.3861348628997803,0.45,0.11180339887498948,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb0.05.csv,"core_interaction, d=100, n=1024, noise=0, lambda=0.05",core_interaction,100,1024,0.0,0.05,KAN,perm,1.04368824763168e-09,1.7280073061641666e-09,4.2871140665257095e-11,4.117525431723834e-09,1.5155784726142882,0.6760343246932904,0.9156793355941772,2.3861348628997803,0.45,0.11180339887498948,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb001.csv,"core_interaction, d=100, n=1024, noise=0, lambda=1",core_interaction,100,1024,0.0,1.0,KAN,grad,6.63679549511853e-10,9.196005675978262e-10,3.893857805636891e-11,2.253631059545569e-09,1.5258399367332458,0.6109229985043282,0.9647040963172911,2.352011680603028,0.45,0.11180339887498948,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise00_lamb001.csv,"core_interaction, d=100, n=1024, noise=0, lambda=1",core_interaction,100,1024,0.0,1.0,KAN,perm,6.63679549511853e-10,9.196005675978262e-10,3.893857805636891e-11,2.253631059545569e-09,1.5258399367332458,0.6109229985043282,0.9647040963172911,2.352011680603028,0.5,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise01_seeds.csv,"core_interaction, d=100, n=1024, noise=0.1",core_interaction,100,1024,0.1,,KAN,grad,2.4515239421818434e-10,3.5221105655386903e-10,4.033150896587401e-11,8.702742970712051e-10,1.6065011978149415,0.7013957098231266,0.7832990884780884,2.656537771224976,0.5,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_noise01_seeds.csv,"core_interaction, d=100, n=1024, noise=0.1",core_interaction,100,1024,0.1,,KAN,perm,2.4515239421818434e-10,3.5221105655386903e-10,4.033150896587401e-11,8.702742970712051e-10,1.6065011978149415,0.7013957098231266,0.7832990884780884,2.656537771224976,0.45,0.2091650066335189,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d100_nonoracle.csv,"core_interaction, d=100, n=1024, noise=0",core_interaction,100,1024,0.0,,KAN,grad,4.872163446995036e-10,5.160693182856131e-10,2.051070945030542e-11,1.2998455645174543e-09,1.4935617089271545,0.6671039339015918,0.8068739771842957,2.4581410884857178,0.45,0.11180339887498948,0.25,0.5,0.7130208333333334,0.13138014380986193,0.5677083333333334,0.9036458333333334,0.5124919082139159,0.08207449830579033,0.3791731366459627,0.6044117647058823,,,,,1.1013212755322457,0.16473026573936173,0.8847270086407661,1.2825768142938614,0.3834897782032688,0.10756028671067594,0.2777555269810061,0.5419959298645457,0.29308115243911737,0.0830151944468872,0.1849404275417328,0.3884263634681701,0.6521990656852722,0.15816156288005143,0.4638537168502807,0.8632926940917969
core_d100_nonoracle.csv,"core_interaction, d=100, n=1024, noise=0",core_interaction,100,1024,0.0,,KAN,perm,4.872163446995036e-10,5.160693182856131e-10,2.051070945030542e-11,1.2998455645174543e-09,1.4935617089271545,0.6671039339015918,0.8068739771842957,2.4581410884857178,0.45,0.11180339887498948,0.25,0.5,0.80859375,0.1116152030819627,0.6432291666666666,0.9270833333333334,0.5182807177492335,0.11598292625168544,0.3653890959925442,0.6467391304347826,,,,,0.2356521508074365,0.10398646928484545,0.1036663060076534,0.3479073542985134,0.01457701310397772,0.008036811823149007,0.0046734685602132,0.0268956480762578,0.01106517738662656,0.013886581306638519,0.0,0.0289953555911779,0.10477609746158119,0.06577996215143746,0.0280980672687292,0.2015445232391357
core_d50_noise01_seeds.csv,"core_interaction, d=50, n=1024, noise=0.1",core_interaction,50,1024,0.1,,KAN,grad,1.2056529969939333e-07,1.42103901972817e-07,5.402284397604262e-09,3.1821338097870466e-07,0.7136293709278106,0.3693476644806628,0.1097483932971954,1.0380663871765137,0.75,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_d50_noise01_seeds.csv,"core_interaction, d=50, n=1024, noise=0.1",core_interaction,50,1024,0.1,,KAN,perm,1.2056529969939333e-07,1.42103901972817e-07,5.402284397604262e-09,3.1821338097870466e-07,0.7136293709278106,0.3693476644806628,0.1097483932971954,1.0380663871765137,0.7,0.2091650066335189,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_interaction.csv,"core_interaction, d=20, n=1024, noise=0",core_interaction,20,1024,0.0,,KAN,grad,1.6811435534691556e-05,8.508134394164284e-06,3.786386741921888e-06,2.7186495572095737e-05,4.180218065812369e-05,2.157575550538504e-05,7.496228590753162e-06,6.638537161052227e-05,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_interaction.csv,"core_interaction, d=20, n=1024, noise=0",core_interaction,20,1024,0.0,,KAN,perm,1.6811435534691556e-05,8.508134394164284e-06,3.786386741921888e-06,2.7186495572095737e-05,4.180218065812369e-05,2.157575550538504e-05,7.496228590753162e-06,6.638537161052227e-05,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_interaction.csv,"core_interaction, d=20, n=1024, noise=0",core_interaction,20,1024,0.0,,MLP,grad,0.00085749923018734,0.0003111172004239404,0.0006083104526624,0.0013466814998537,1.7692875385284423,0.19694975061158213,1.472245216369629,1.9754903316497805,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_interaction.csv,"core_interaction, d=20, n=1024, noise=0",core_interaction,20,1024,0.0,,MLP,perm,0.00085749923018734,0.0003111172004239404,0.0006083104526624,0.0013466814998537,1.7692875385284423,0.19694975061158213,1.472245216369629,1.9754903316497805,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
