model,explain_method,seed,function,samples,dimension,noise,variable_index,score,is_active,source_file
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,0,1.8255465030670168,1,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,1,0.8640443086624146,1,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,2,0.4608908593654632,1,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,3,0.3884263634681701,1,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,4,0.6217478513717651,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,5,0.5537615418434143,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,6,0.6391761898994446,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,7,0.7343257665634155,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,8,0.3172321319580078,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,9,0.558590292930603,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,10,0.5222259163856506,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,11,0.5984475612640381,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,12,0.3685593605041504,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,13,0.4112289547920227,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,14,0.5189719200134277,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,15,0.6229769587516785,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,16,0.5495004653930664,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,17,0.7290531396865845,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,18,0.6058683395385742,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,19,0.6387895345687866,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,20,0.2817311882972717,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,21,0.4976962804794311,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,22,0.75323486328125,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,23,0.7501055002212524,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,24,0.719685971736908,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,25,0.5258346796035767,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,26,0.5524755716323853,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,27,0.3086370229721069,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,28,0.6420646905899048,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,29,0.6380831003189087,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,30,0.6985456943511963,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,31,0.5544846653938293,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,32,0.7165374159812927,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,33,0.3015021085739136,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,34,0.6515982151031494,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,35,0.5384203195571899,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,36,0.5447571277618408,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,37,0.3700317740440368,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,38,0.433810830116272,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,39,0.4511687457561493,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,40,0.5998725891113281,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,41,0.4262790083885193,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,42,0.6847292184829712,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,43,0.6291571855545044,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,44,0.7078461647033691,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,45,0.3918311595916748,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,46,0.5446135997772217,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,47,0.4159439206123352,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,48,0.2939068078994751,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,49,0.6905934810638428,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,50,0.4577547907829284,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,51,0.4464132785797119,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,52,0.6698834896087646,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,53,0.3849879503250122,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,54,0.555997908115387,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,55,0.438173234462738,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,56,0.4822671413421631,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,57,0.6052606105804443,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,58,0.5514751076698303,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,59,0.5559332370758057,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,60,0.6528931856155396,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,61,0.6060839891433716,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,62,0.4283682703971863,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,63,0.6304275989532471,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,64,0.7059988975524902,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,65,0.4260402619838714,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,66,0.6046137809753418,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,67,0.418388307094574,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,68,0.3741752505302429,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,69,0.3696773052215576,0,core_d100_nonoracle_scores.csv
