model,explain_method,seed,function,samples,dimension,noise,variable,score,is_active
KAN,grad,0,core_interaction,1024,100,0.0,0,5.59028959274292,1
KAN,grad,0,core_interaction,1024,100,0.0,1,1.5050188302993774,1
KAN,grad,0,core_interaction,1024,100,0.0,2,0.35279208421707153,1
KAN,grad,0,core_interaction,1024,100,0.0,3,0.291592001914978,1
KAN,grad,0,core_interaction,1024,100,0.0,4,0.41296592354774475,0
KAN,grad,0,core_interaction,1024,100,0.0,5,0.2385416030883789,0
KAN,grad,0,core_interaction,1024,100,0.0,6,0.3883756399154663,0
KAN,grad,0,core_interaction,1024,100,0.0,7,0.2700801193714142,0
KAN,grad,0,core_interaction,1024,100,0.0,8,0.1623077392578125,0
KAN,grad,0,core_interaction,1024,100,0.0,9,0.23804494738578796,0
KAN,grad,0,core_interaction,1024,100,0.0,10,0.23714302480220795,0
KAN,grad,0,core_interaction,1024,100,0.0,11,0.33008313179016113,0
KAN,grad,0,core_interaction,1024,100,0.0,12,0.29486116766929626,0
KAN,grad,0,core_interaction,1024,100,0.0,13,0.2266245186328888,0
KAN,grad,0,core_interaction,1024,100,0.0,14,0.38026848435401917,0
KAN,grad,0,core_interaction,1024,100,0.0,15,0.34095627069473267,0
KAN,grad,0,core_interaction,1024,100,0.0,16,0.19194988906383514,0
KAN,grad,0,core_interaction,1024,100,0.0,17,0.2729666829109192,0
KAN,grad,0,core_interaction,1024,100,0.0,18,0.4730589687824249,0
KAN,grad,0,core_interaction,1024,100,0.0,19,0.17790833115577698,0
KAN,grad,0,core_interaction,1024,100,0.0,20,0.4443000555038452,0
KAN,grad,0,core_interaction,1024,100,0.0,21,0.3440239727497101,0
KAN,grad,0,core_interaction,1024,100,0.0,22,0.29912400245666504,0
KAN,grad,0,core_interaction,1024,100,0.0,23,0.2937357425689697,0
KAN,grad,0,core_interaction,1024,100,0.0,24,0.20272734761238098,0
KAN,grad,0,core_interaction,1024,100,0.0,25,0.36710089445114136,0
KAN,grad,0,core_interaction,1024,100,0.0,26,0.2930140197277069,0
KAN,grad,0,core_interaction,1024,100,0.0,27,0.26870718598365784,0
KAN,grad,0,core_interaction,1024,100,0.0,28,0.24660587310791016,0
KAN,grad,0,core_interaction,1024,100,0.0,29,0.39167892932891846,0
KAN,grad,0,core_interaction,1024,100,0.0,30,0.25626760721206665,0
KAN,grad,0,core_interaction,1024,100,0.0,31,0.22213244438171387,0
KAN,grad,0,core_interaction,1024,100,0.0,32,0.2581549286842346,0
KAN,grad,0,core_interaction,1024,100,0.0,33,0.3742905855178833,0
KAN,grad,0,core_interaction,1024,100,0.0,34,0.343294620513916,0
KAN,grad,0,core_interaction,1024,100,0.0,35,0.3625931143760681,0
KAN,grad,0,core_interaction,1024,100,0.0,36,0.2054794430732727,0
KAN,grad,0,core_interaction,1024,100,0.0,37,0.4744056761264801,0
KAN,grad,0,core_interaction,1024,100,0.0,38,0.39180123805999756,0
KAN,grad,0,core_interaction,1024,100,0.0,39,0.46414753794670105,0
KAN,grad,0,core_interaction,1024,100,0.0,40,0.32807105779647827,0
KAN,grad,0,core_interaction,1024,100,0.0,41,0.19049030542373657,0
KAN,grad,0,core_interaction,1024,100,0.0,42,0.22832128405570984,0
KAN,grad,0,core_interaction,1024,100,0.0,43,0.20948326587677002,0
KAN,grad,0,core_interaction,1024,100,0.0,44,0.3968096673488617,0
KAN,grad,0,core_interaction,1024,100,0.0,45,0.40302425622940063,0
KAN,grad,0,core_interaction,1024,100,0.0,46,0.3627696931362152,0
KAN,grad,0,core_interaction,1024,100,0.0,47,0.26646482944488525,0
KAN,grad,0,core_interaction,1024,100,0.0,48,0.23851701617240906,0
KAN,grad,0,core_interaction,1024,100,0.0,49,0.331364244222641,0
KAN,grad,0,core_interaction,1024,100,0.0,50,0.2438788115978241,0
KAN,grad,0,core_interaction,1024,100,0.0,51,0.24449895322322845,0
KAN,grad,0,core_interaction,1024,100,0.0,52,0.40485286712646484,0
KAN,grad,0,core_interaction,1024,100,0.0,53,0.11128716170787811,0
KAN,grad,0,core_interaction,1024,100,0.0,54,0.3396415710449219,0
KAN,grad,0,core_interaction,1024,100,0.0,55,0.250395804643631,0
KAN,grad,0,core_interaction,1024,100,0.0,56,0.2679980397224426,0
KAN,grad,0,core_interaction,1024,100,0.0,57,0.387138307094574,0
KAN,grad,0,core_interaction,1024,100,0.0,58,0.2913857698440552,0
KAN,grad,0,core_interaction,1024,100,0.0,59,0.573036789894104,0
KAN,grad,0,core_interaction,1024,100,0.0,60,0.26031768321990967,0
KAN,grad,0,core_interaction,1024,100,0.0,61,0.3105124235153198,0
KAN,grad,0,core_interaction,1024,100,0.0,62,0.2796678841114044,0
KAN,grad,0,core_interaction,1024,100,0.0,63,0.47298765182495117,0
KAN,grad,0,core_interaction,1024,100,0.0,64,0.3640156388282776,0
KAN,grad,0,core_interaction,1024,100,0.0,65,0.28815507888793945,0
