model,explain_method,seed,function,samples,dimension,noise,variable,score,is_active
KAN,grad,0,core_interaction,1024,100,0.0,0,2.0570292472839355,1
KAN,grad,0,core_interaction,1024,100,0.0,1,0.9565300941467285,1
KAN,grad,0,core_interaction,1024,100,0.0,2,0.48162323236465454,1
KAN,grad,0,core_interaction,1024,100,0.0,3,0.4700963497161865,1
KAN,grad,0,core_interaction,1024,100,0.0,4,0.6866494417190552,0
KAN,grad,0,core_interaction,1024,100,0.0,5,0.5558788776397705,0
KAN,grad,0,core_interaction,1024,100,0.0,6,0.6904698014259338,0
KAN,grad,0,core_interaction,1024,100,0.0,7,0.7717751264572144,0
KAN,grad,0,core_interaction,1024,100,0.0,8,0.3855154514312744,0
KAN,grad,0,core_interaction,1024,100,0.0,9,0.5416982173919678,0
KAN,grad,0,core_interaction,1024,100,0.0,10,0.6186570525169373,0
KAN,grad,0,core_interaction,1024,100,0.0,11,0.5562350749969482,0
KAN,grad,0,core_interaction,1024,100,0.0,12,0.412756085395813,0
KAN,grad,0,core_interaction,1024,100,0.0,13,0.46594464778900146,0
KAN,grad,0,core_interaction,1024,100,0.0,14,0.5024252533912659,0
KAN,grad,0,core_interaction,1024,100,0.0,15,0.5618973970413208,0
KAN,grad,0,core_interaction,1024,100,0.0,16,0.5668359994888306,0
KAN,grad,0,core_interaction,1024,100,0.0,17,0.7317665219306946,0
KAN,grad,0,core_interaction,1024,100,0.0,18,0.589194118976593,0
KAN,grad,0,core_interaction,1024,100,0.0,19,0.6900203227996826,0
KAN,grad,0,core_interaction,1024,100,0.0,20,0.30455291271209717,0
KAN,grad,0,core_interaction,1024,100,0.0,21,0.46433311700820923,0
KAN,grad,0,core_interaction,1024,100,0.0,22,0.7770521640777588,0
KAN,grad,0,core_interaction,1024,100,0.0,23,0.7193129658699036,0
KAN,grad,0,core_interaction,1024,100,0.0,24,0.7821837663650513,0
KAN,grad,0,core_interaction,1024,100,0.0,25,0.6223677396774292,0
KAN,grad,0,core_interaction,1024,100,0.0,26,0.5251772999763489,0
KAN,grad,0,core_interaction,1024,100,0.0,27,0.34614208340644836,0
KAN,grad,0,core_interaction,1024,100,0.0,28,0.6477893590927124,0
KAN,grad,0,core_interaction,1024,100,0.0,29,0.7065280079841614,0
KAN,grad,0,core_interaction,1024,100,0.0,30,0.6975009441375732,0
KAN,grad,0,core_interaction,1024,100,0.0,31,0.5136239528656006,0
KAN,grad,0,core_interaction,1024,100,0.0,32,0.7181000709533691,0
KAN,grad,0,core_interaction,1024,100,0.0,33,0.34767502546310425,0
KAN,grad,0,core_interaction,1024,100,0.0,34,0.5637513995170593,0
KAN,grad,0,core_interaction,1024,100,0.0,35,0.5710625648498535,0
KAN,grad,0,core_interaction,1024,100,0.0,36,0.5617412328720093,0
KAN,grad,0,core_interaction,1024,100,0.0,37,0.3530932664871216,0
KAN,grad,0,core_interaction,1024,100,0.0,38,0.36467933654785156,0
KAN,grad,0,core_interaction,1024,100,0.0,39,0.43781977891921997,0
KAN,grad,0,core_interaction,1024,100,0.0,40,0.741122841835022,0
KAN,grad,0,core_interaction,1024,100,0.0,41,0.5444656610488892,0
KAN,grad,0,core_interaction,1024,100,0.0,42,0.6426421403884888,0
KAN,grad,0,core_interaction,1024,100,0.0,43,0.6842504739761353,0
KAN,grad,0,core_interaction,1024,100,0.0,44,0.7760659456253052,0
KAN,grad,0,core_interaction,1024,100,0.0,45,0.4239899516105652,0
KAN,grad,0,core_interaction,1024,100,0.0,46,0.6042983531951904,0
KAN,grad,0,core_interaction,1024,100,0.0,47,0.4467622637748718,0
KAN,grad,0,core_interaction,1024,100,0.0,48,0.37441956996917725,0
KAN,grad,0,core_interaction,1024,100,0.0,49,0.7736580967903137,0
KAN,grad,0,core_interaction,1024,100,0.0,50,0.42455005645751953,0
KAN,grad,0,core_interaction,1024,100,0.0,51,0.49610430002212524,0
KAN,grad,0,core_interaction,1024,100,0.0,52,0.7162303924560547,0
KAN,grad,0,core_interaction,1024,100,0.0,53,0.39059388637542725,0
KAN,grad,0,core_interaction,1024,100,0.0,54,0.5741715431213379,0
KAN,grad,0,core_interaction,1024,100,0.0,55,0.4725028872489929,0
KAN,grad,0,core_interaction,1024,100,0.0,56,0.5203804969787598,0
KAN,grad,0,core_interaction,1024,100,0.0,57,0.535888135433197,0
KAN,grad,0,core_interaction,1024,100,0.0,58,0.6300405263900757,0
KAN,grad,0,core_interaction,1024,100,0.0,59,0.6762658953666687,0
