setting,screen_mode,screen_mode_label,top_m,support_retained,interaction_endpoints_retained,test_mse,variable_f1,interaction_f1
core c=5 d=100,exclude_interaction,Exclude interaction,10,0.0,0.0,4.141974035898844,0.0333333333333333,0.0
core c=5 d=100,exclude_interaction,Exclude interaction,20,0.0,0.0,6.396067333221436,0.1,0.0
core c=5 d=100,exclude_interaction,Exclude interaction,30,0.0,0.0,5.812000306447347,0.0833333333333333,0.0
core c=5 d=100,oracle_support,Oracle support,10,1.0,1.0,0.0001789990050989,1.0,1.0
core c=5 d=100,oracle_support,Oracle support,20,1.0,1.0,0.0004568165468905,1.0,1.0
core c=5 d=100,oracle_support,Oracle support,30,1.0,1.0,0.1339328184263043,0.9833333333333332,0.9333333333333332
core c=5 d=100,random,Random,10,0.0,0.0,3.960008382797241,0.0833333333333333,0.0
core c=5 d=100,random,Random,20,0.0,0.0666666666666666,6.3439706325531,0.1333333333333333,0.0666666666666666
core c=5 d=100,random,Random,30,0.0,0.0,5.780600229899089,0.1166666666666666,0.0
core c=5 d=100,rf,RF,10,1.0,1.0,0.000208909005111,1.0,1.0
core c=5 d=100,rf,RF,20,1.0,1.0,0.0003919721784768,1.0,1.0
core c=5 d=100,rf,RF,30,1.0,1.0,0.2285423026468682,0.9666666666666668,0.9333333333333332
core c=5 d=100,rf_exclude_interaction,RF excl. interaction,10,0.0,0.0,3.232753292719523,0.3833333333333333,0.0
core c=5 d=100,rf_exclude_interaction,RF excl. interaction,20,0.0,0.0,6.015709940592448,0.3833333333333333,0.0
core c=5 d=100,rf_exclude_interaction,RF excl. interaction,30,0.0,0.0,4.634173631668091,0.3166666666666666,0.0
core d=100,exclude_interaction,Exclude interaction,10,0.0,0.0,3.34008237918218,0.0333333333333333,0.0
core d=100,exclude_interaction,Exclude interaction,20,0.0,0.0,5.5375648021698,0.1166666666666666,0.0
core d=100,exclude_interaction,Exclude interaction,30,0.0,0.0,3.892124422391256,0.1333333333333333,0.0
core d=100,oracle_support,Oracle support,10,1.0,1.0,0.0001043340670245,1.0,1.0
core d=100,oracle_support,Oracle support,20,1.0,1.0,0.0001753728361412,1.0,1.0
core d=100,oracle_support,Oracle support,30,1.0,1.0,0.2617347963707289,0.8833333333333333,0.6666666666666666
core d=100,random,Random,10,0.0,0.0,3.1562608083089194,0.0833333333333333,0.0
core d=100,random,Random,20,0.0,0.0666666666666666,4.756166315078735,0.1333333333333333,0.0
core d=100,random,Random,30,0.0,0.0,4.42357603708903,0.15,0.0
core d=100,rf,RF,10,1.0,1.0,6.755463715914326e-05,1.0,1.0
core d=100,rf,RF,20,1.0,1.0,0.000159909709085,1.0,1.0
core d=100,rf,RF,30,1.0,1.0,0.0517138820612065,0.9666666666666668,0.9333333333333332
core d=100,rf_exclude_interaction,RF excl. interaction,10,0.0,0.0,0.5223648111025493,0.5,0.0
core d=100,rf_exclude_interaction,RF excl. interaction,20,0.0,0.0,0.99453653494517,0.5,0.0
core d=100,rf_exclude_interaction,RF excl. interaction,30,0.0,0.0,0.9757565418879192,0.5,0.0
proxy d=100,exclude_interaction,Exclude interaction,10,0.0,0.0,4.32020427385966,0.0333333333333333,0.0
proxy d=100,exclude_interaction,Exclude interaction,20,0.0,0.0,2.7227359930674235,0.1166666666666666,0.0
proxy d=100,exclude_interaction,Exclude interaction,30,0.0,0.0,2.105609242121379,0.1166666666666666,0.0
proxy d=100,oracle_support,Oracle support,10,1.0,1.0,0.0163823431978623,1.0,0.4
proxy d=100,oracle_support,Oracle support,20,1.0,1.0,0.2274695708105961,0.8833333333333333,0.0666666666666666
proxy d=100,oracle_support,Oracle support,30,1.0,1.0,0.6693785667419434,0.5333333333333333,0.0
proxy d=100,random,Random,10,0.0,0.0,5.337367002169291,0.0833333333333333,0.0
proxy d=100,random,Random,20,0.0,0.0666666666666666,2.8345417300860087,0.1166666666666666,0.0
proxy d=100,random,Random,30,0.0,0.0,2.134488010406494,0.1333333333333333,0.0
proxy d=100,rf,RF,10,0.8,0.8,0.1887308071057001,0.9,0.2
proxy d=100,rf,RF,20,1.0,1.0,0.2076691415160894,0.8333333333333334,0.1333333333333333
proxy d=100,rf,RF,30,1.0,1.0,0.7695303459962209,0.4333333333333333,0.0
proxy d=100,rf_exclude_interaction,RF excl. interaction,10,0.0,0.0,0.9962584416071574,0.5,0.0
proxy d=100,rf_exclude_interaction,RF excl. interaction,20,0.0,0.0,0.8532960732777913,0.3833333333333333,0.0
proxy d=100,rf_exclude_interaction,RF excl. interaction,30,0.0,0.0,0.8058926900227864,0.35,0.0
