function,dimension,noise,screen_mode,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std
core_interaction,100,0.0,exclude_interaction,10,grad,0.15661446402470272,0.04386926034147685,3.3400823791821797,1.0796325881903948,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.08796644381862459,0.4668402777777778,0.04993928320953167,0.07200000000000001,0.08444778606587963,0.0,0.0
core_interaction,100,0.0,exclude_interaction,10,perm,0.15661446402470272,0.04386926034147685,3.3400823791821797,1.0796325881903948,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.08796644381862459,0.4668402777777778,0.04993928320953167,0.07200000000000001,0.08444778606587963,0.0,0.0
core_interaction,100,0.0,exclude_interaction,20,grad,0.011016018005708854,0.003313952033729341,5.5375648021698,2.173640146374799,0.0,0.11666666666666667,0.0,0.0,0.0,0.11666666666666667,0.12909944487358055,0.46814236111111107,0.08001476010393796,0.15200000000000002,0.12393546707863735,0.0,0.0
core_interaction,100,0.0,exclude_interaction,20,perm,0.011016018005708854,0.003313952033729341,5.5375648021698,2.173640146374799,0.0,0.11666666666666667,0.0,0.0,0.0,0.1,0.1267731382092775,0.46640625,0.07821671204198458,0.11797222222222223,0.10632138902662186,0.0,0.0
core_interaction,100,0.0,exclude_interaction,30,grad,0.00027074808604083956,0.00014293164792266008,3.8921244223912557,1.1651384384220675,0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.12909944487358055,0.4333333333333334,0.08673868952443699,0.168,0.12393546707863735,0.0,0.0
core_interaction,100,0.0,exclude_interaction,30,perm,0.00027074808604083956,0.00014293164792266008,3.8921244223912557,1.1651384384220675,0.0,0.13333333333333333,0.0,0.0,0.0,0.11666666666666667,0.12909944487358055,0.43229166666666674,0.08576823156700247,0.138,0.11083771921146701,0.0,0.0
core_interaction,100,0.0,oracle_support,10,grad,5.153599207308919e-05,4.5730357608518e-05,0.00010433406702456219,7.948420857464538e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,oracle_support,10,perm,5.153599207308919e-05,4.5730357608518e-05,0.00010433406702456219,7.948420857464538e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,oracle_support,20,grad,6.240895478792178e-05,2.497833439322122e-05,0.0001753728361412262,5.03142979262966e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,oracle_support,20,perm,6.240895478792178e-05,2.497833439322122e-05,0.0001753728361412262,5.03142979262966e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,oracle_support,30,grad,0.0001330175981517338,0.00014350363556716228,0.2617347963707289,0.4462226605130507,1.0,1.0,1.0,1.0,1.0,0.8833333333333333,0.208452346958198,0.984375,0.03163515133675204,0.9165288800705468,0.15745703398016175,0.6666666666666666,0.48795003647426666
core_interaction,100,0.0,oracle_support,30,perm,0.0001330175981517338,0.00014350363556716228,0.2617347963707289,0.4462226605130507,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.22886885410853172,0.9880208333333333,0.024325919756996023,0.9143447293447294,0.15397910457664443,0.6666666666666666,0.48795003647426666
core_interaction,100,0.0,random,10,grad,0.15012325222293535,0.04077107013379311,3.1562608083089194,0.9200193640611426,0.0,0.13333333333333333,0.0,0.2,0.0,0.08333333333333333,0.1543033499620919,0.5190972222222222,0.08734317025912415,0.11526851851851852,0.14011152794499296,0.0,0.0
core_interaction,100,0.0,random,10,perm,0.15012325222293535,0.04077107013379311,3.1562608083089194,0.9200193640611426,0.0,0.13333333333333333,0.0,0.2,0.0,0.08333333333333333,0.1543033499620919,0.5199652777777778,0.08753706535550092,0.10151851851851852,0.11348233021495922,0.0,0.0
core_interaction,100,0.0,random,20,grad,0.01142321095491449,0.004250695746110558,4.756166315078735,1.7430044561196036,0.0,0.26666666666666666,0.06666666666666667,0.3,0.06666666666666667,0.13333333333333333,0.1599851183555461,0.5430555555555556,0.12316464258544764,0.17361315682368314,0.14789407772666996,0.0,0.0
core_interaction,100,0.0,random,20,perm,0.01142321095491449,0.004250695746110558,4.756166315078735,1.7430044561196036,0.0,0.26666666666666666,0.06666666666666667,0.3,0.06666666666666667,0.1,0.1267731382092775,0.5427083333333333,0.12554637842710045,0.14798135878282936,0.12777664191514465,0.0,0.0
core_interaction,100,0.0,random,30,grad,0.00025612665437317145,0.00011583148207684351,4.42357603708903,1.4874633274392943,0.0,0.3333333333333333,0.0,0.4,0.0,0.15,0.1267731382092775,0.5354166666666667,0.10777129093674997,0.18548993018600862,0.12928704101194208,0.0,0.0
core_interaction,100,0.0,random,30,perm,0.00025612665437317145,0.00011583148207684351,4.42357603708903,1.4874633274392943,0.0,0.3333333333333333,0.0,0.4,0.0,0.1,0.1267731382092775,0.5324652777777777,0.10458258051351924,0.14609950013754364,0.11714824197886232,0.0,0.0
core_interaction,100,0.0,rf,10,grad,3.2219474693799084e-05,1.9684518735308228e-05,6.755463715914326e-05,3.783671847014435e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,10,perm,3.2219474693799084e-05,1.9684518735308228e-05,6.755463715914326e-05,3.783671847014435e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,20,grad,4.972006554453401e-05,3.4013548618975486e-05,0.00015990970908508946,0.0001243631443577279,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,20,perm,4.972006554453401e-05,3.4013548618975486e-05,0.00015990970908508946,0.0001243631443577279,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction,100,0.0,rf,30,grad,7.929722535967206e-05,5.045626561514904e-05,0.05171388206120658,0.19807937726567548,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.12909944487358055,0.9986111111111111,0.005379143536399195,0.9833333333333333,0.06454972243679027,0.9333333333333333,0.2581988897471611
core_interaction,100,0.0,rf,30,perm,7.929722535967206e-05,5.045626561514904e-05,0.05171388206120658,0.19807937726567548,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.12909944487358055,0.9973958333333334,0.01008589413074849,0.9776785714285714,0.08645052112070127,0.9333333333333333,0.2581988897471611
core_interaction,100,0.0,rf_exclude_interaction,10,grad,0.03006468452513218,0.002500842810117219,0.5223648111025493,0.07415169671676525,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.7288194444444444,0.0009163171231106594,0.508888888888889,0.029322147939541562,0.0,0.0
core_interaction,100,0.0,rf_exclude_interaction,10,perm,0.03006468452513218,0.002500842810117219,0.5223648111025493,0.07415169671676525,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.7291666666666666,0.0,0.52,0.0,0.0,0.0
core_interaction,100,0.0,rf_exclude_interaction,20,grad,0.003155021679898103,0.0007662710997063419,0.9945365349451701,0.16333268007438706,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.703125,0.0,0.52,0.0,0.0,0.0
core_interaction,100,0.0,rf_exclude_interaction,20,perm,0.003155021679898103,0.0007662710997063419,0.9945365349451701,0.16333268007438706,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.702951388888889,0.0006723929420498687,0.5144444444444445,0.021516574145596795,0.0,0.0
