model,function,screen_mode,seed,samples,test_samples,dimension,noise,top_m,selected_screen_features,screen_score_type,screen_scores,true_variables,true_interactions,num_true_variables,num_true_interactions,formula,grid,k,width_hidden,lamb,steps,opt,update_grid,grid_update_num,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,status,error,traceback,train_mse,test_mse,variable_method,interaction_method,importance_scores,selected_variables,variable_precision,variable_recall,variable_f1,variable_auroc,variable_auprc,selected_interactions,interaction_precision,interaction_recall,interaction_f1,true_interaction_score_mean,max_nontrue_interaction_score
KAN_tuned_fixed,core_interaction,raw,0,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.00016756031254772097,0.00021094191470183432,grad,fd,"[4.769986152648926, 1.23276948928833, 0.554366409778595, 0.5760886073112488, 0.0006586973322555423, 2.2914859073353e-05, 0.0002636604767758399, 0.0010546855628490448, 0.003229090478271246, 0.00017292842676397413, 0.0008764257654547691, 0.0004559462540782988, 0.00010246184683637694, 0.000576379825361073, 0.00011933303176192567, 0.0008928863098844886, 0.0002677165321074426, 0.0009928651852533221, 0.0006997251184657216, 0.0018269515130668879, 0.00034605531254783273, 0.0043777404353022575, 0.0004443754442036152, 0.002351609291508794, 0.0012808619067072868, 0.0007841044571250677, 0.0004212496569380164, 0.00015787612937856466, 0.00019136985065415502, 0.0010782410390675068, 0.001467818277888, 0.0007992235478013754, 0.0005601186421699822, 0.002103312872350216, 0.00013811457029078156, 0.0009300390956923366, 0.00025877595180645585, 0.0008761351928114891, 0.0012926546623930335, 0.00017880467930808663, 0.0009512787801213562, 0.002431416418403387, 0.0011349868727847934, 0.00012619246263056993, 0.0007047976832836866, 0.0006971504190005362, 0.0008537712856195867, 0.0005121554713696241, 0.0006118369055911899, 0.0008321688510477543]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.131097674369812,0.1261182427406311
KAN_tuned_fixed,core_interaction,raw,1,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.00023772714484948665,0.0003549666434992105,grad,fd,"[4.888970375061035, 1.184144139289856, 0.5836858749389648, 0.571761965751648, 0.00045299992780201137, 0.001199644641019404, 0.00018588401144370437, 0.00029613927472382784, 0.0011307273525744677, 0.0011476363288238645, 0.002020609099417925, 0.0015611014096066356, 0.0027839266695082188, 0.0002887994924094528, 0.0011113806394860148, 0.0003249416477046907, 0.0007486778195016086, 0.0005634060362353921, 0.0002476646623108536, 0.0013644216815009713, 0.00359060219489038, 0.0021272115409374237, 0.0006065813358873129, 0.0019286649767309427, 0.002301629167050123, 0.0015456394758075476, 0.0004295150865800679, 0.0008751008426770568, 0.0001891513093141839, 0.0006990215042605996, 0.00013307783228810877, 0.0035014550667256117, 0.0037448822986334562, 0.0006075807614251971, 0.004783797077834606, 0.0011625697370618582, 0.0003871698281727731, 0.0024373841006308794, 0.0001241579302586615, 0.0035063480027019978, 0.0006901469896547496, 0.0017545002046972513, 0.0012915730476379395, 0.0016210719477385283, 0.005640279967337847, 0.0016216918593272567, 0.001168467802926898, 0.0036132358945906162, 0.0018556800205260515, 0.0009059004951268435]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1497490406036377,0.12621109187602997
KAN_tuned_fixed,core_interaction,raw,2,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001503684325143695,0.00023840516223572195,grad,fd,"[4.758436679840088, 1.1677272319793701, 0.5907577872276306, 0.5640896558761597, 0.0018788592424243689, 0.004998605232685804, 0.0007412959821522236, 0.002191352192312479, 0.0009170597186312079, 0.0017158552072942257, 0.0014728670939803123, 0.0004935613833367825, 0.0008746605017222464, 0.000403059646487236, 0.0005930361803621054, 0.0016473247669637203, 0.0018032731022685766, 0.0009114383137784898, 0.0008814069442451, 0.0003662618692032993, 0.00043602287769317627, 0.0016989926807582378, 0.0020794083829969168, 0.0035368897952139378, 0.004717667121440172, 0.005878089927136898, 0.000701192650012672, 0.002041794592514634, 0.0005045351572334766, 0.000658930279314518, 0.0005097076063975692, 0.0008372879819944501, 0.0004208199679851532, 0.0007612825138494372, 0.0002709113177843392, 0.0037276078946888447, 0.001701798988506198, 0.000668759923428297, 0.002383490791544318, 0.0020647950004786253, 0.003522163024172187, 0.0007687860052101314, 0.0003746899019461125, 4.9435657274443656e-05, 0.004265082534402609, 0.001749032293446362, 0.0013879191828891635, 0.0013194095809012651, 5.8101199101656675e-05, 0.002153146080672741]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1014461517333984,0.39792385697364807
KAN_tuned_fixed,core_interaction,raw,3,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.00020721335022244602,0.00031249772291630507,grad,fd,"[4.954185485839844, 1.172949194908142, 0.5852953791618347, 0.5849568843841553, 0.003533595707267523, 6.070251765777357e-05, 0.0014587671030312777, 0.005349115934222937, 6.007820775266737e-05, 0.0023234630934894085, 0.00017141966964118183, 0.0012940620072185993, 0.0030050307977944613, 0.0001492708397563547, 0.010849295184016228, 0.0007168479496613145, 0.005604554899036884, 0.000471831182949245, 0.002489561215043068, 0.0019915257580578327, 0.0016599689843133092, 0.002706048311665654, 0.004044531378895044, 0.002187295351177454, 0.005079685710370541, 0.0028135860338807106, 0.0007447988609783351, 2.530425990698859e-05, 7.311620720429346e-05, 0.0035117678344249725, 0.0004942723317071795, 0.0010870343539863825, 0.000416852708440274, 0.0009067051578313112, 0.0025046078953891993, 0.00242550577968359, 0.0014579209964722395, 0.00025631565949879587, 0.0023179659619927406, 0.0014938476961106062, 0.0016074039740487933, 0.0013272715732455254, 0.001742103835567832, 0.002144409576430917, 0.00329571939073503, 0.000409108295571059, 0.0017717175651341677, 0.005621164105832577, 0.005011487752199173, 0.005273465067148209]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1002860069274902,0.13261014223098755
KAN_tuned_fixed,core_interaction,raw,4,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.00024120468879118562,0.0003261634265072644,grad,fd,"[4.934931755065918, 1.2094764709472656, 0.6155424118041992, 0.5838027596473694, 0.0001614612847333774, 0.0004916067700833082, 0.000237166736042127, 0.0017868385184556246, 0.0006611213320866227, 0.00026749432436190546, 0.00166625517886132, 0.0003198189369868487, 0.00166128552518785, 0.0012789301108568907, 0.0006901747547090054, 0.0022227889858186245, 0.0017533785430714488, 0.0002570240176282823, 0.00014350769924931228, 8.936752419685945e-05, 0.0013438391033560038, 0.002255151281133294, 0.0004683972510974854, 0.003887664759531617, 0.002054847776889801, 0.0007891037384979427, 0.0004322633030824363, 0.0001776843419065699, 0.0034173019230365753, 0.001990861026570201, 0.0034311292693018913, 0.0013881830964237452, 0.0005288271931931376, 0.0006293234182521701, 0.0007754098623991013, 0.0010080813663080335, 0.0002403964608674869, 0.0007701686699874699, 0.0006445369217544794, 0.0004593140329234302, 9.365318692289293e-05, 0.0007645472651347518, 0.0002838356595020741, 0.0025980263017117977, 0.0008432099130004644, 0.0028136109467595816, 0.0001175984725705348, 0.00043755414662882686, 0.0001593500201124698, 0.0002305460802745074]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1303737163543701,0.23347032070159912
KAN_tuned_fixed,core_interaction,raw,5,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.00015046956832520664,0.00024733226746320724,grad,fd,"[4.620603561401367, 1.246374249458313, 0.5801101922988892, 0.5955266952514648, 0.00030822676490060985, 0.0006374229560606182, 0.0021513942629098892, 0.002462607342749834, 0.0011400156654417515, 0.00034674032940529287, 0.0035057649947702885, 0.0019975630566477776, 0.0025530087295919657, 0.00012848078040406108, 0.0004800766473636031, 0.00010060727072414011, 0.0009818737162277102, 0.0017225539777427912, 0.0010181835386902094, 0.002848186995834112, 0.00020109445904381573, 0.00039317639311775565, 0.0001547362480778247, 0.0017053786432370543, 0.005570646375417709, 0.0008648389484733343, 0.0013290955685079098, 0.004972606897354126, 0.002404875587671995, 0.0010772189125418663, 0.002456685993820429, 0.006341778673231602, 0.00134569953661412, 0.000585144036449492, 0.001988711068406701, 0.0002878037339542061, 0.0018615021836012602, 0.0029357061721384525, 0.0011189288925379515, 0.0018237633630633354, 0.0022371066734194756, 0.002064573112875223, 0.0032056961208581924, 0.001395119121298194, 0.00023388519184663892, 0.0015291140880435705, 0.0006174403242766857, 0.00012843924923799932, 0.0002798070781864226, 0.007893340662121773]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1381880044937134,0.16870908439159393
KAN_tuned_fixed,core_interaction,raw,6,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0003911366802640259,0.0005650781677104533,grad,fd,"[4.857815742492676, 1.1994980573654175, 0.5832104682922363, 0.5745590925216675, 0.00022128032287582755, 0.0019212928600609303, 0.001034128712490201, 0.0028571600560098886, 0.003569756867364049, 0.0024713557213544846, 0.0037023108452558517, 0.00014998449478298426, 0.001397866988554597, 0.0029377336613833904, 0.00017706760263536125, 0.0050957780331373215, 0.0014439732767641544, 0.0022730091586709023, 0.0016947963740676641, 0.006749069318175316, 0.0005885219434276223, 0.0016725141322240233, 0.001152870710939169, 0.0005067471647635102, 0.0040200380608439445, 0.001987936208024621, 0.002946137450635433, 0.00028634973568841815, 0.00044093409087508917, 0.0001791474351193756, 0.002578380052000284, 0.0030728066340088844, 0.002155474852770567, 0.0036528781056404114, 0.004052172414958477, 0.008640123531222343, 0.0024932618252933025, 0.0034636242780834436, 0.0022251345217227936, 0.006131123285740614, 0.007469523698091507, 0.001131096389144659, 0.006536142900586128, 0.0027618783060461283, 0.0031292925123125315, 0.0020315879955887794, 0.0020399291533976793, 0.007699809968471527, 0.00273450487293303, 0.0007021116325631738]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1452252864837646,0.11933327466249466
KAN_tuned_fixed,core_interaction,raw,7,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.00021808553719893098,0.0004280521534383297,grad,fd,"[4.671229362487793, 1.2062469720840454, 0.5815251469612122, 0.5901284217834473, 0.0049770488403737545, 0.0034888964146375656, 0.004632521420717239, 0.0015634603332728148, 0.004866624251008034, 0.003678103443235159, 0.003157715080305934, 0.011951275169849396, 0.0044915820471942425, 0.0029513586778193712, 0.008900811895728111, 0.008571747690439224, 0.002431887201964855, 0.006847417913377285, 0.0020891064777970314, 0.004647994413971901, 0.004622454755008221, 0.0023294081911444664, 0.003014648798853159, 0.005499484948813915, 0.003351932857185602, 0.001963452436029911, 0.0009173752623610198, 0.0047546569257974625, 0.0024621079210191965, 0.001975428778678179, 0.0002498864196240902, 0.0075545827858150005, 0.00968114286661148, 0.00042328343261033297, 0.006219178903847933, 0.0010709691559895873, 0.004400630481541157, 0.002345497254282236, 0.0019381048623472452, 0.0040210578590631485, 0.005054405890405178, 0.003548664040863514, 0.0018063746392726898, 0.0005327562103047967, 0.0028902716003358364, 0.010646194219589233, 0.0039896247908473015, 0.003956078551709652, 0.003133863676339388, 0.0038186656311154366]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.110906958580017,0.15632569789886475
KAN_tuned_fixed,core_interaction,raw,8,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001409963588230312,0.00019005857757292688,grad,fd,"[4.566609859466553, 1.1690733432769775, 0.5628012418746948, 0.5568116903305054, 0.005373832769691944, 0.0019008582457900047, 0.0009904273319989443, 0.005761517211794853, 0.001512328744865954, 0.00043801157153211534, 0.0031712837517261505, 0.0022694915533065796, 0.0003239007492084056, 0.0031648327130824327, 0.0009959181770682335, 0.0013653038768097758, 0.003094203770160675, 0.004217900801450014, 0.000899055041372776, 0.00024316109193023294, 0.003950649872422218, 0.0020835662726312876, 0.004152914509177208, 0.003096862230449915, 0.00437161372974515, 0.00441009271889925, 0.009307662025094032, 0.0014605524484068155, 0.00032789542456157506, 0.0032787825912237167, 0.0017821770161390305, 0.0012042522430419922, 0.0008333279401995242, 0.0013147254940122366, 0.004055541008710861, 0.002530590631067753, 0.00015476596308872104, 0.00146837392821908, 0.003371406812220812, 0.005279971286654472, 0.002364915329962969, 0.0008128763874992728, 0.0011301302583888173, 0.0033302900847047567, 0.0007274204399436712, 0.005580485798418522, 0.004990784451365471, 0.0023484486155211926, 0.002471123356372118, 0.008269574493169785]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1379873752593994,0.10456977784633636
KAN_tuned_fixed,core_interaction,raw,9,1024,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.00010975371696986258,0.00016086932737380266,grad,fd,"[4.72238826751709, 1.188415765762329, 0.5812965631484985, 0.5550129413604736, 0.00011310927948215976, 0.0011095041409134865, 0.0016063331859186292, 0.0013319440186023712, 0.0017288862727582455, 0.0013659920077770948, 0.0035525341518223286, 0.0030386438593268394, 0.0011074459180235863, 0.001104294671677053, 0.0007770555675961077, 0.0003372693026904017, 0.0019181111129000783, 0.001363970572128892, 0.0011442513205111027, 0.0038616927340626717, 0.0006695985211990774, 0.001934734871610999, 0.002090135822072625, 0.0011710668914020061, 0.00035838806070387363, 0.0016904091462492943, 0.0003768252208828926, 0.0014966987073421478, 0.0023484278935939074, 0.002382430247962475, 0.0008513918146491051, 0.003028477542102337, 0.0005849177250638604, 0.001995884347707033, 0.0011239380110055208, 0.002594625810161233, 0.0014757977332919836, 0.0027407612651586533, 0.0025847088545560837, 0.0004945378750562668, 0.0002494676737114787, 0.00170240830630064, 0.002007905161008239, 0.00043239095248281956, 0.0022086361423134804, 0.004164167679846287, 0.00011518831888679415, 0.0003549441462382674, 0.0010087373666465282, 0.000939692254178226]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1311215162277222,0.15076249837875366
