function,dimension,screen_mode,n_seeds,endpoint_retention,full_support_retention,at_least_one_endpoint,support_stability,avg_selected_size
core_interaction,5,exclude_interaction,10,0.0,0.0,1.0,1.0,4.0
core_interaction,5,oracle_support,10,1.0,1.0,1.0,1.0,4.0
core_interaction,5,random,10,0.7,0.3,1.0,0.6800000000000002,4.0
core_interaction,5,raw,10,1.0,1.0,1.0,1.0,4.0
core_interaction,5,rf,10,1.0,1.0,1.0,1.0,4.0
core_interaction,20,exclude_interaction,10,0.0,0.0,0.0,0.15132275132275136,4.0
core_interaction,20,oracle_support,10,1.0,1.0,1.0,1.0,4.0
core_interaction,20,random,10,0.2,0.0,0.6,0.1128042328042328,4.0
core_interaction,20,raw,10,1.0,1.0,1.0,1.0,4.0
core_interaction,20,rf,10,1.0,1.0,1.0,1.0,4.0
core_interaction,50,exclude_interaction,10,0.0,0.0,0.0,0.06666666666666665,4.0
core_interaction,50,oracle_support,10,1.0,1.0,1.0,1.0,4.0
core_interaction,50,random,10,0.0,0.0,0.0,0.05185185185185184,4.0
core_interaction,50,raw,10,1.0,1.0,1.0,1.0,4.0
core_interaction,50,rf,10,1.0,1.0,1.0,1.0,4.0
core_interaction,100,exclude_interaction,10,0.0,0.0,0.0,0.025396825396825397,4.0
core_interaction,100,oracle_support,10,1.0,1.0,1.0,1.0,4.0
core_interaction,100,random,10,0.0,0.0,0.0,0.03915343915343915,4.0
core_interaction,100,raw,10,0.9,0.9,0.9,0.8666666666666667,4.0
core_interaction,100,rf,10,1.0,1.0,1.0,1.0,4.0
