model,explain_method,function,samples,noise,mean_test_mse,std_test_mse,mean_variable_f1,std_variable_f1
KAN,grad,core_interaction,256,0.0,1.0651031255722045,0.3540144652392007,0.65,0.13693063937629152
KAN,grad,core_interaction,256,0.01,0.9901837468147278,0.2797643563113523,0.65,0.22360679774997896
KAN,grad,core_interaction,256,0.05,0.9901174902915955,0.3596177310281234,0.6,0.13693063937629155
KAN,grad,core_interaction,256,0.1,1.0317552924156188,0.32145349886178837,0.55,0.1118033988749895
KAN,grad,core_interaction,512,0.0,0.20264868903905153,0.3049154081224792,0.95,0.11180339887498948
KAN,grad,core_interaction,512,0.01,0.19378626979887484,0.3468940245170743,0.95,0.11180339887498948
KAN,grad,core_interaction,512,0.05,0.26418945863842963,0.37874762967687836,0.95,0.11180339887498948
KAN,grad,core_interaction,512,0.1,0.5498425543308259,0.4099787515002222,0.85,0.13693063937629155
KAN,grad,core_interaction,1024,0.0,0.00010733724338929696,2.8721317265952986e-05,1.0,0.0
KAN,grad,core_interaction,1024,0.01,0.0003178220125846,5.328555670779076e-05,1.0,0.0
KAN,grad,core_interaction,1024,0.05,0.01073788031935686,0.0016701325457834353,1.0,0.0
KAN,grad,core_interaction,1024,0.1,0.050747279077768284,0.003923247922012131,1.0,0.0
KAN,grad,core_interaction,2048,0.0,6.449223656088447e-05,4.41704277489432e-05,1.0,0.0
KAN,grad,core_interaction,2048,0.01,0.00026182864385186,6.526346926146496e-05,1.0,0.0
KAN,grad,core_interaction,2048,0.05,0.00574878947809334,0.0007123468467616551,1.0,0.0
KAN,grad,core_interaction,2048,0.1,0.028230321034789018,0.005401478811348758,1.0,0.0
KAN,perm,core_interaction,256,0.0,1.0651031255722045,0.3540144652392007,0.65,0.13693063937629152
KAN,perm,core_interaction,256,0.01,0.9901837468147278,0.2797643563113523,0.7,0.11180339887498947
KAN,perm,core_interaction,256,0.05,0.9901174902915955,0.3596177310281234,0.6,0.13693063937629152
KAN,perm,core_interaction,256,0.1,1.0317552924156188,0.32145349886178837,0.75,0.1767766952966369
KAN,perm,core_interaction,512,0.0,0.20264868903905153,0.3049154081224792,0.95,0.11180339887498948
KAN,perm,core_interaction,512,0.01,0.19378626979887484,0.3468940245170743,0.95,0.11180339887498948
KAN,perm,core_interaction,512,0.05,0.26418945863842963,0.37874762967687836,0.95,0.11180339887498948
KAN,perm,core_interaction,512,0.1,0.5498425543308259,0.4099787515002222,0.95,0.11180339887498948
KAN,perm,core_interaction,1024,0.0,0.00010733724338929696,2.8721317265952986e-05,1.0,0.0
KAN,perm,core_interaction,1024,0.01,0.0003178220125846,5.328555670779076e-05,1.0,0.0
KAN,perm,core_interaction,1024,0.05,0.01073788031935686,0.0016701325457834353,1.0,0.0
KAN,perm,core_interaction,1024,0.1,0.050747279077768284,0.003923247922012131,1.0,0.0
KAN,perm,core_interaction,2048,0.0,6.449223656088447e-05,4.41704277489432e-05,1.0,0.0
KAN,perm,core_interaction,2048,0.01,0.00026182864385186,6.526346926146496e-05,1.0,0.0
KAN,perm,core_interaction,2048,0.05,0.00574878947809334,0.0007123468467616551,1.0,0.0
KAN,perm,core_interaction,2048,0.1,0.028230321034789018,0.005401478811348758,1.0,0.0
