model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
KAN,grad,0,core_interaction,1024,20,0.0,4.687851105700247e-05,1.635836269997526e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.824112415313721,1.196616291999817,0.5928443670272827,0.5922806262969971,0.00309347384609282,0.0013122062664479017,0.0034300026018172503,0.0031132311560213566,0.0028455464635044336,0.0027598764281719923,0.004324987530708313,0.004409236833453178,0.0030920205172151327,0.003338226582854986,0.003507153131067753,0.004770681262016296,0.002412122907117009,0.0019406182691454887,0.00552739854902029,0.002075329190120101
KAN,perm,0,core_interaction,1024,20,0.0,4.687851105700247e-05,1.635836269997526e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3956800699234009,0.24086116254329681,0.33033642172813416,0.32852280139923096,0.0,2.2693104995141766e-07,0.0,0.0,0.0,0.0,3.0638935299975856e-07,0.0,1.0512909653925817e-07,0.0,0.0,0.0,7.747196946183976e-07,1.0433237918050509e-07,5.704047794097278e-07,8.611823432147503e-08
MLP,grad,0,core_interaction,1024,20,0.0,1.4722449779510498,0.0006976079312153161,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.6339221000671387,1.2185431718826294,0.8695491552352905,0.8585644960403442,0.4530046880245209,0.43503865599632263,0.5212228298187256,0.5199445486068726,0.524236798286438,0.5270931124687195,0.6155266165733337,0.5003984570503235,0.4930383265018463,0.46144723892211914,0.4897521734237671,0.6238970756530762,0.3770195543766022,0.5861201286315918,0.505125105381012,0.5676584243774414
MLP,perm,0,core_interaction,1024,20,0.0,1.4722449779510498,0.0006976079312153161,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.4717106521129608,0.26565781235694885,0.3278360068798065,0.39103153347969055,0.050307948142290115,0.014330029487609863,0.0,0.052649933844804764,0.031583983451128006,0.0,0.03333870694041252,0.015530705451965332,0.021637996658682823,0.0,0.013973991386592388,0.06803063303232193,0.0,0.060392141342163086,0.01702868938446045,0.0
KAN,grad,1,core_interaction,1024,20,0.0,6.118728833826026e-06,2.8308922992437147e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.791300296783447,1.2287696599960327,0.5997546315193176,0.5900943875312805,0.0012567879166454077,0.0012679843930527568,0.001628595869988203,0.0014125235611572862,0.0013318152632564306,0.002241135574877262,0.0013746613403782248,0.0023385174572467804,0.0005318972398526967,0.0012761109974235296,0.002487746998667717,0.0012956608552485704,0.0011654351837933064,0.0009151339181698859,0.0018549490487203002,0.00195047736633569
KAN,perm,1,core_interaction,1024,20,0.0,6.118728833826026e-06,2.8308922992437147e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4247156381607056,0.2555845081806183,0.31969818472862244,0.30802255868911743,1.561844875652696e-08,3.412014848436229e-08,0.0,5.850809614571517e-08,1.8030277715297416e-08,4.5092292566550896e-08,0.0,1.4674697013106197e-09,0.0,3.125690639649292e-08,0.0,0.0,0.0,0.0,0.0,7.164195636732984e-08
MLP,grad,1,core_interaction,1024,20,0.0,1.6937103271484375,0.0006486255442723632,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.129004716873169,1.3918569087982178,0.913330078125,0.8849388360977173,0.6705993413925171,0.559831440448761,0.6196727156639099,0.577231764793396,0.5547272562980652,0.5201077461242676,0.5068715810775757,0.5471276640892029,0.5701509714126587,0.6077626943588257,0.5453766584396362,0.5853626728057861,0.44210028648376465,0.5227373242378235,0.4780101776123047,0.6181713342666626
MLP,perm,1,core_interaction,1024,20,0.0,1.6937103271484375,0.0006486255442723632,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.14535827934741974,0.2483329325914383,0.3800438940525055,0.3660601079463959,0.04583577439188957,0.04516248032450676,0.009816169738769531,0.016451993957161903,0.0,0.05225209519267082,0.04051895812153816,0.0,0.0,0.07839373499155045,0.0,0.03697347640991211,0.0,0.041470129042863846,0.0,0.05515853688120842
KAN,grad,2,core_interaction,1024,20,0.0,4.592891855281778e-05,1.8478007405065e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.670228004455566,1.1804494857788086,0.5719212293624878,0.5676717162132263,0.0031756553798913956,0.004209689795970917,0.005637264810502529,0.00478727649897337,0.004831594415009022,0.005921287462115288,0.004809481091797352,0.005620733834803104,0.0034662652760744095,0.0027636776212602854,0.004227867815643549,0.0031606813427060843,0.003454419318586588,0.005583141930401325,0.004741412587463856,0.0038426779210567474
KAN,perm,2,core_interaction,1024,20,0.0,4.592891855281778e-05,1.8478007405065e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3092900514602661,0.22687208652496338,0.2962360680103302,0.28144535422325134,0.0,0.0,0.0,0.0,2.700665788779588e-07,5.746381361859676e-07,0.0,0.0,0.0,0.0,5.334065349416051e-07,0.0,2.7066926122643054e-07,0.0,1.3114186003804207e-06,0.0
MLP,grad,2,core_interaction,1024,20,0.0,1.9754908084869385,0.0013466747477650642,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.717322051525116,1.2699706554412842,0.938137948513031,0.8538856506347656,0.527557909488678,0.701532244682312,0.5250952243804932,0.7039020657539368,0.6564414501190186,0.4850170314311981,0.6957225799560547,0.6732606291770935,0.6751944422721863,0.7104851603507996,0.6202989816665649,0.5468096733093262,0.5454314947128296,0.6220847964286804,0.5563700199127197,0.5822991132736206
MLP,perm,2,core_interaction,1024,20,0.0,1.9754908084869385,0.0013466747477650642,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.14146368205547333,0.2834912836551666,0.38098636269569397,0.31145724654197693,0.0,0.05974626541137695,0.0,0.0,0.0,0.0,0.034313082695007324,0.044418055564165115,0.018713435158133507,0.0,0.03429095074534416,0.06168568134307861,0.0,0.0,0.0,0.0
KAN,grad,3,core_interaction,1024,20,0.0,0.00010195445065619424,2.5927734895958565e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.850231170654297,1.1811832189559937,0.630801796913147,0.6173433065414429,0.006004114169627428,0.003978356719017029,0.007172105833888054,0.008218567818403244,0.003505375236272812,0.006719168741255999,0.004562378861010075,0.007556005381047726,0.005349752027541399,0.009024995379149914,0.0029056803323328495,0.008051926270127296,0.004670196212828159,0.005467268172651529,0.006315935403108597,0.006246420554816723
