transfer_id,transfer,adapter_family,adapter,source_claim,target_claim,eligible_pairs,source_passes,target_failures_given_source_pass,overclaim_risk,wilson_low,wilson_high
candidate_to_pair,candidate -> pair,epim_pairverify,EPIM-PairVerify,true pair appears in a candidate set,pair verifier passes,2670,1775,273,0.15380281690140846,0.13776873451861582,0.1713321994824779
candidate_to_pair,candidate -> pair,epim_pairverify,residual_rff_hsic_pair_screen,true pair appears in a candidate set,pair verifier passes,180,112,48,0.42857142857142855,0.34079005131078005,0.5210903094577175
candidate_to_pair,candidate -> pair,tree_gate,TreeGate-extra-hybrid,true pair appears in a candidate set,pair verifier passes,90,10,10,1.0,0.7224598312333834,1.0
candidate_to_pair,candidate -> pair,tree_gate,TreeGate-extra-path_pair_endpoint,true pair appears in a candidate set,pair verifier passes,630,493,259,0.5253549695740365,0.48124903728255286,0.5690688104983093
candidate_to_pair,candidate -> pair,tree_gate,TreeGate-rf-feature_importance,true pair appears in a candidate set,pair verifier passes,400,374,182,0.48663101604278075,0.4363684576938372,0.5371654252878143
candidate_to_pair,candidate -> pair,tree_gate,TreeGate-rf-path_pair_endpoint,true pair appears in a candidate set,pair verifier passes,60,19,19,1.0,0.8318156346315496,1.0
candidate_to_pair,candidate -> pair,tree_gate,TreeGate-tree-gate,true pair appears in a candidate set,pair verifier passes,1600,1136,633,0.5572183098591549,0.5281884030155104,0.5858625317810437
fitted_pair_to_pruning,fitted pair -> pruning endpoints,pyKAN,pyKAN,full fitted-function pair passes,pruned endpoint support passes,2596,2019,441,0.21842496285289748,0.2009459999901354,0.23697341001211092
fitted_pair_to_readout,fitted pair -> readout endpoints,pyKAN,pyKAN,full fitted-function pair passes,inspectable readout endpoints pass,2596,2019,542,0.2684497275879148,0.24957239675816467,0.2882065375884494
prediction_to_pair,prediction -> pair,epim_pairverify,EPIM-PairVerify,predictive adequacy,verified or fitted pair recovery,2670,1755,274,0.15612535612535614,0.13989620125057944,0.17385666882026718
prediction_to_pair,prediction -> pair,ga2m_spline,ga2m_spline,predictive adequacy,verified or fitted pair recovery,822,405,81,0.2,0.16394274426328237,0.24169503819329746
prediction_to_pair,prediction -> pair,gbm_hstat,gbm_hstat,predictive adequacy,verified or fitted pair recovery,1230,441,173,0.3922902494331066,0.347837076486615,0.4386037599819167
prediction_to_pair,prediction -> pair,pyKAN,pyKAN,predictive adequacy,verified or fitted pair recovery,2595,1955,214,0.10946291560102302,0.0963810074237331,0.1240766344805434
prediction_to_pair,prediction -> pair,pyKAN,pyKAN-scorergram,predictive adequacy,verified or fitted pair recovery,463,361,121,0.33518005540166207,0.2884454667691147,0.3853855875843362
prediction_to_pair,prediction -> pair,pyKAN,pyKAN-semisynthetic-feature_edge_hybrid,predictive adequacy,verified or fitted pair recovery,205,205,65,0.3170731707317073,0.2572360784686547,0.3836400688123468
prediction_to_pair,prediction -> pair,pyKAN,pyKAN-semisynthetic-feature_stability_var,predictive adequacy,verified or fitted pair recovery,205,205,65,0.3170731707317073,0.2572360784686547,0.3836400688123468
prediction_to_pair,prediction -> pair,sparse_lasso,sparse_lasso,predictive adequacy,verified or fitted pair recovery,1230,298,118,0.3959731543624161,0.34210812569430593,0.4524861250650327
prediction_to_pair,prediction -> pair,sparse_library,poly2_ridge,predictive adequacy,verified or fitted pair recovery,35,20,4,0.2,0.0806563532712,0.41602172202575993
prediction_to_pair,prediction -> pair,sparse_spline_lasso,sparse_spline_lasso,predictive adequacy,verified or fitted pair recovery,1230,1049,446,0.4251668255481411,0.3955761975411529,0.455303554930634
prediction_to_pair,prediction -> pair,symbolic_lasso,symbolic_lasso,predictive adequacy,verified or fitted pair recovery,822,722,305,0.4224376731301939,0.38691098126187257,0.4587853800378931
prediction_to_pair,prediction -> pair,symbolic_library,gplearn_symbolic_regressor,predictive adequacy,verified or fitted pair recovery,21,0,0,,,
prediction_to_pair,prediction -> pair,symbolic_library,oracle_symbolic,predictive adequacy,verified or fitted pair recovery,35,35,0,0.0,0.0,0.09890426758938868
prediction_to_pair,prediction -> pair,tree_gate,TreeGate-extra-hybrid,predictive adequacy,verified or fitted pair recovery,90,28,28,1.0,0.8793527963418923,1.0
prediction_to_pair,prediction -> pair,tree_gate,TreeGate-extra-path_pair_endpoint,predictive adequacy,verified or fitted pair recovery,630,109,69,0.6330275229357798,0.5394532218030395,0.7175441975883907
prediction_to_pair,prediction -> pair,tree_gate,TreeGate-rf-feature_importance,predictive adequacy,verified or fitted pair recovery,400,240,161,0.6708333333333333,0.6090988505109499,0.7271850321407386
prediction_to_pair,prediction -> pair,tree_gate,TreeGate-rf-path_pair_endpoint,predictive adequacy,verified or fitted pair recovery,60,1,1,1.0,0.20654329147389294,1.0
prediction_to_pair,prediction -> pair,tree_gate,TreeGate-tree-gate,predictive adequacy,verified or fitted pair recovery,1600,215,136,0.6325581395348837,0.5663131102943468,0.6941492515235159
support_to_prediction,support -> prediction,ga2m_spline,ga2m_spline,declared support is contained in selected variables,predictive adequacy passes,822,32,16,0.5,0.33630614316859386,0.6636938568314061
support_to_prediction,support -> prediction,gbm_hstat,gbm_hstat,declared support is contained in selected variables,predictive adequacy passes,1230,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257
support_to_prediction,support -> prediction,pyKAN,pyKAN,declared support is contained in selected variables,predictive adequacy passes,2595,1706,169,0.09906213364595545,0.0857737945379411,0.11415209333377754
support_to_prediction,support -> prediction,pyKAN,pyKAN-prune-symbolic,declared support is contained in selected variables,predictive adequacy passes,202,196,50,0.25510204081632654,0.1991875308504722,0.3204320078241581
support_to_prediction,support -> prediction,pyKAN,pyKAN-semisynthetic-feature_edge_hybrid,declared support is contained in selected variables,predictive adequacy passes,205,205,0,0.0,0.0,0.018394802568070728
support_to_prediction,support -> prediction,pyKAN,pyKAN-semisynthetic-feature_stability_var,declared support is contained in selected variables,predictive adequacy passes,205,205,0,0.0,0.0,0.018394802568070728
support_to_prediction,support -> prediction,sparse_lasso,sparse_lasso,declared support is contained in selected variables,predictive adequacy passes,1230,1090,822,0.7541284403669725,0.727701801401628,0.7787700680171251
support_to_prediction,support -> prediction,sparse_library,poly2_ridge,declared support is contained in selected variables,predictive adequacy passes,50,41,21,0.5121951219512195,0.36484259315865186,0.657458127600643
support_to_prediction,support -> prediction,sparse_spline_lasso,sparse_spline_lasso,declared support is contained in selected variables,predictive adequacy passes,1230,449,98,0.2182628062360802,0.18253238445861497,0.2587733613032585
support_to_prediction,support -> prediction,support_screen,main_effect_corr,declared support is contained in selected variables,predictive adequacy passes,50,32,27,0.84375,0.6824550744643347,0.9313568089337279
support_to_prediction,support -> prediction,symbolic_lasso,symbolic_lasso,declared support is contained in selected variables,predictive adequacy passes,822,558,33,0.05913978494623656,0.042417370818810744,0.08189097516340202
support_to_prediction,support -> prediction,symbolic_library,gplearn_symbolic_regressor,declared support is contained in selected variables,predictive adequacy passes,28,12,11,0.9166666666666666,0.6461140782014047,0.9851352905492264
support_to_prediction,support -> prediction,symbolic_library,oracle_symbolic,declared support is contained in selected variables,predictive adequacy passes,50,50,0,0.0,0.0,0.07135003417431873
symbolic_status_to_expression_quality,symbolic-status -> expression quality,symbolic_lasso,symbolic_lasso,a symbolic expression/status is returned,operator recall and complexity constraints pass,822,822,822,1.0,0.9953482604896629,1.0
symbolic_status_to_expression_quality,symbolic-status -> expression quality,symbolic_library,gplearn_symbolic_regressor,a symbolic expression/status is returned,operator recall and complexity constraints pass,30,30,27,0.9,0.7437855868473339,0.9654007400402839
symbolic_status_to_expression_quality,symbolic-status -> expression quality,symbolic_library,oracle_symbolic,a symbolic expression/status is returned,operator recall and complexity constraints pass,50,50,0,0.0,0.0,0.07135003417431873
symbolic_status_to_expression_quality,symbolic-status -> expression quality,symbolic_library,symbolic_library_missing_power,a symbolic expression/status is returned,operator recall and complexity constraints pass,60,60,60,1.0,0.9398260695220669,0.9999999999999999
symbolic_status_to_expression_quality,symbolic-status -> expression quality,symbolic_library,symbolic_library_oracle,a symbolic expression/status is returned,operator recall and complexity constraints pass,120,120,0,0.0,0.0,0.031020271055929513
symbolic_status_to_expression_quality,symbolic-status -> expression quality,symbolic_library,symbolic_library_overcomplex,a symbolic expression/status is returned,operator recall and complexity constraints pass,120,120,120,1.0,0.9689797289440706,1.0
symbolic_status_to_expression_quality,symbolic-status -> expression quality,symbolic_library,symbolic_library_support_only,a symbolic expression/status is returned,operator recall and complexity constraints pass,60,60,60,1.0,0.9398260695220669,0.9999999999999999
