adapter_family,adapter,method,candidate_to_pair,fitted_pair_to_pruning,fitted_pair_to_readout,prediction_to_pair,support_to_prediction,symbolic_status_to_expression_quality,candidate_to_pair_source_passes,fitted_pair_to_pruning_source_passes,fitted_pair_to_readout_source_passes,prediction_to_pair_source_passes,support_to_prediction_source_passes,symbolic_status_to_expression_quality_source_passes,dominant_overclaim_edge,dominant_overclaim_risk
symbolic_lasso,symbolic_lasso,symbolic_lasso / symbolic_lasso,,,,0.3684807256235827,0.0842245989304812,1.0,,,,882.0,748.0,1022.0,symbolic_status_to_expression_quality,1.0
symbolic_library,symbolic_library_missing_divide,symbolic_library / symbolic_library_missing_divide,,,,,,1.0,,,,,,60.0,symbolic_status_to_expression_quality,1.0
symbolic_library,symbolic_library_missing_power,symbolic_library / symbolic_library_missing_power,,,,,,1.0,,,,,,120.0,symbolic_status_to_expression_quality,1.0
symbolic_library,symbolic_library_missing_trig,symbolic_library / symbolic_library_missing_trig,,,,,,1.0,,,,,,60.0,symbolic_status_to_expression_quality,1.0
symbolic_library,symbolic_library_multiplicative_only,symbolic_library / symbolic_library_multiplicative_only,,,,,,1.0,,,,,,60.0,symbolic_status_to_expression_quality,1.0
symbolic_library,symbolic_library_overcomplex,symbolic_library / symbolic_library_overcomplex,,,,,,1.0,,,,,,240.0,symbolic_status_to_expression_quality,1.0
symbolic_library,symbolic_library_support_only,symbolic_library / symbolic_library_support_only,,,,,,1.0,,,,,,120.0,symbolic_status_to_expression_quality,1.0
symbolic_library,symbolic_library_variables_only,symbolic_library / symbolic_library_variables_only,,,,,,1.0,,,,,,60.0,symbolic_status_to_expression_quality,1.0
tree_gate,TreeGate-extra-hybrid,tree_gate / TreeGate-extra-hybrid,1.0,,,1.0,,,10.0,,,28.0,,,candidate_to_pair,1.0
tree_gate,TreeGate-rf-path_pair_endpoint,tree_gate / TreeGate-rf-path_pair_endpoint,1.0,,,1.0,,,19.0,,,1.0,,,candidate_to_pair,1.0
symbolic_library,gplearn_symbolic_regressor,symbolic_library / gplearn_symbolic_regressor,,,,0.2637362637362637,0.9049773755656108,0.9035714285714286,,,,91.0,221.0,840.0,support_to_prediction,0.9049773755656108
symbolic_library,pysr_symbolic_regressor,symbolic_library / pysr_symbolic_regressor,,,,0.2094039054470709,0.0554908808692277,0.8627906976744186,,,,3892.0,5154.0,5160.0,symbolic_status_to_expression_quality,0.8627906976744186
sparse_lasso,sparse_lasso,sparse_lasso / sparse_lasso,,,,0.3814432989690721,0.744945567651633,,,,,388.0,1286.0,,support_to_prediction,0.744945567651633
support_screen,main_effect_corr,support_screen / main_effect_corr,,,,,0.6857142857142857,,,,,,70.0,,support_to_prediction,0.6857142857142857
tree_gate,TreeGate-rf-feature_importance,tree_gate / TreeGate-rf-feature_importance,0.4866310160427807,,,0.6708333333333333,,,374.0,,,240.0,,,prediction_to_pair,0.6708333333333333
gbm_hstat,gbm_hstat,gbm_hstat / gbm_hstat,,,,0.429951690821256,0.6363636363636364,,,,,621.0,11.0,,support_to_prediction,0.6363636363636364
